@relation credit-rating-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A6 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute A15 numeric
@attribute class {+,-}

@data
b,0.116878,0,u,g,q,v,0.004128,f,f,0,f,g,0.993118,0.006207,-
?,0.134303,0.00911,y,p,cc,v,0.014171,f,f,0,t,g,0.809786,0.570899,-
b,0.00184,0.000169,y,p,c,h,0.000113,t,t,0.000055,t,g,0.009985,0.999948,+
a,0.164813,0.020414,u,g,i,bb,0.002883,t,f,0,t,g,0.986109,0,-
b,0.004942,0.000113,u,g,c,v,0.000057,t,t,0.001366,t,g,0.018732,0.999811,+
a,0.100973,0.012435,u,g,w,v,0.002967,t,f,0,f,s,0.994807,0,+
b,0.356875,0.031626,y,p,m,v,0.001459,f,f,0,t,s,0.933616,0,-
b,0.20821,0.052866,y,p,ff,ff,0.000111,f,t,0.005565,f,g,0,0.976638,-
a,0.094392,0.007214,u,g,j,j,0,f,f,0,t,g,0.995502,0.003607,-
b,0.235581,0.064148,y,p,d,v,0.053255,t,f,0,t,s,0.968272,0,+
b,0.018152,0.009421,u,g,k,v,0.001303,f,f,0,t,g,0.082212,0.996404,-
b,0.09936,0.007148,u,g,cc,bb,0.00143,f,f,0,f,g,0.995025,0,-
b,0.176632,0.089004,u,g,x,v,0.002346,t,t,0.048547,f,g,0.979039,0,+
b,0.029851,0.004041,u,g,c,n,0.001577,f,t,0.003286,t,g,0.262857,0.964358,-
a,0.203002,0.089321,y,p,aa,v,0.03654,t,f,0,f,g,0.974411,0,-
b,0.056572,0.005014,u,g,q,h,0.013885,t,f,0,t,g,0.157359,0.985809,+
a,0.228931,0.079841,u,g,q,h,0.000636,f,t,0.089836,t,g,0.965733,0.022459,-
b,0.158405,0.00179,y,p,c,v,0.009256,f,f,0,t,g,0.987329,0,-
a,0.220288,0.116491,u,g,x,h,0.024784,t,t,0.008034,f,g,0.964062,0.088372,+
b,0.170738,0.086332,u,g,aa,v,0.02942,t,t,0.029186,t,g,0.980652,0,+
b,0.902026,0,u,g,k,v,0.039083,f,t,0.429908,f,s,0,0,-
b,0.072388,0.009067,u,g,i,bb,0.000381,f,f,0,f,g,0.997335,0,-
a,0.042647,0.021539,u,g,aa,v,0.002585,t,t,0.020677,t,g,0.206772,0.977,+
a,0.059223,0.024167,u,g,c,v,0.000469,f,f,0,f,g,0,0.997952,-
a,0.069744,0.007966,u,g,x,h,0.002425,t,f,0,f,g,0.99753,0,+
b,0.147512,0.055042,u,g,i,v,0.001058,f,f,0,f,g,0.508078,0.846797,-
b,0.987462,0.110638,y,p,c,h,0.112598,t,f,0,f,g,0,0,+
a,0.077257,0.010077,u,g,c,v,0.002916,t,t,0.002687,t,g,0.996952,0,+
b,0.079654,0.009275,u,g,q,v,0.007638,f,f,0,f,g,0.99076,0.109115,-
b,0.698064,0.090828,u,g,ff,ff,0.040368,f,t,0.010092,f,g,0.706441,0.060552,-
b,0.076736,0.017802,u,g,e,bb,0.003762,t,f,0,t,s,0.996885,0,-
b,0.049181,0.001037,y,p,cc,v,0.000443,t,t,0.003545,f,g,0.460791,0.886137,+
b,0.006436,0.000351,u,g,w,v,0.000007,t,f,0,t,g,0.068801,0.99761,+
b,0.027491,0.001954,u,g,k,v,0.003517,t,t,0.005472,f,g,0.117248,0.992699,+
b,0.209003,0.014667,u,g,i,bb,0.004889,t,f,0,f,g,0,0.977793,-
b,0.114697,0.008869,u,g,c,v,0.004435,f,f,0,t,g,0.993351,0,-
b,0.183391,0.00183,y,p,cc,v,0.000464,f,f,0,f,g,0.983038,0,-
b,0.005483,0.000594,u,g,ff,ff,0.00002,f,f,0,t,g,0.023757,0.999703,-
a,0.30469,0.076294,u,g,aa,v,0.013932,t,t,0.018252,t,g,0.949113,0,+
b,0.040997,0.020926,u,g,d,v,0.003884,t,t,0.011651,f,g,0.323625,0.944985,+
b,0.058178,0.001135,y,p,w,v,0.006477,t,t,0.014804,t,g,0.513194,0.856145,-
b,0.331847,0.00283,u,g,c,v,0.003065,t,t,0.01572,t,g,0.943193,0,-
a,0.023325,0.006509,u,g,aa,v,0.002712,t,t,0.003255,f,g,0.086791,0.995923,+
b,0.00106,0.000033,u,g,r,h,0.000208,t,f,0,t,g,0.005242,0.999986,+
b,0.190678,0.009203,y,p,w,v,0.000245,f,f,0,f,s,0.98161,0,-
a,0.036384,0.006238,u,g,q,v,0.002495,t,t,0.008733,f,g,0,0.999277,+
b,0.056256,0.025014,u,g,x,v,0.0001,t,t,0.022423,f,g,0.149483,0.986591,+
b,0.396426,0.015603,y,p,ff,ff,0.011473,f,f,0,f,g,0.91783,0.007649,-
b,0.004615,0.000303,y,p,c,v,0.000173,t,t,0.000865,t,g,0.027685,0.999606,+
a,0.116812,0.021902,u,g,d,v,0.004563,f,f,0,f,g,0.992902,0,-
a,0.169895,0.020387,u,g,cc,h,0.003398,t,t,0.04893,t,g,0.98403,0,+
a,0.031645,0.015053,u,g,aa,v,0.001254,t,t,0.003345,f,g,0.147185,0.988482,+
b,0.262436,0.074189,u,g,e,z,0,t,t,0.095727,f,g,0.727526,0.622226,-
b,0.124035,0.00094,u,g,c,v,0.00124,f,f,0,f,g,0.992277,0,-
b,0.030996,0.015444,u,g,i,v,0.0047,t,t,0.012087,f,g,0.075206,0.996482,+
a,0.024006,0.006816,u,g,c,v,0.002499,t,t,0.006362,f,g,0,0.999665,+
b,0.023218,0.000116,y,p,c,v,0.000054,f,f,0,f,g,0.190309,0.98145,-
b,0.083351,0.003559,u,g,c,v,0.001779,f,f,0,t,s,0.996512,0,-
b,0.165565,0.046173,u,g,w,v,0.014036,t,f,0,f,s,0.985017,0,+
b,0.971998,0.23499,u,g,ff,ff,0,t,f,0,t,g,0,0,+
b,0.056392,0.032871,u,g,q,h,0.000274,t,t,0.001304,f,g,0.990942,0.117348,-
b,0.267486,0.014802,u,g,w,v,0.036043,t,t,0.048057,t,g,0.961141,0.028834,+
b,0.395822,0.185279,y,p,c,v,0.044916,t,f,0,f,g,0.89832,0,-
a,0.060124,0.001247,l,gg,cc,ff,0.033255,f,f,0,t,s,0.997636,0,+
b,0.070652,0.010567,y,p,i,bb,0.002255,f,f,0,t,g,0.997442,0,-
b,0.425176,0.008536,u,g,c,v,0.002571,f,f,0,f,g,0,0.905067,-
b,0.049895,0.003208,u,g,c,h,0.003026,t,f,0,f,g,0.902516,0.427733,+
b,0.27463,0.034833,u,g,aa,v,0.002402,f,f,0,t,g,0.960916,0,-
b,0.470873,0.032662,u,g,q,h,0.065323,t,t,0.119759,f,g,0.870978,0,+
b,0.098204,0.002332,y,p,aa,v,0.010884,f,f,0,t,g,0.995104,0,-
b,0.023526,0.011616,u,g,e,dd,0,f,f,0,t,g,0.125092,0.991798,-
b,0.06866,0.022356,u,g,q,h,0.013567,t,t,0.014369,f,g,0.912428,0.402331,+
b,0.164386,0.011742,u,g,i,v,0.004697,f,f,0,t,g,0.986315,0,-
a,0.078679,0.002186,u,g,c,v,0.004371,t,t,0.024041,f,g,0,0.996598,+
b,0.094011,0.047809,u,g,w,v,0.003347,t,f,0,t,g,0.994417,0,-
?,0.082098,0.003819,u,g,c,v,0.000636,f,f,0,t,g,0.94699,0.310572,-
b,0.749064,0.089281,u,g,c,v,0.0372,f,t,0.02976,f,g,0,0.654724,-
b,0.022472,0.004245,u,g,cc,h,0.006991,t,t,0.000499,t,g,0.043945,0.998748,+
b,0.911494,0.115146,u,g,ff,ff,0,f,t,0.046058,f,g,0.391496,0.023029,-
a,0.203835,0.029357,u,g,aa,v,0.000391,t,f,0,f,g,0.978565,0,+
b,0.007612,0.000295,u,g,i,bb,0.000028,f,f,0,t,g,0.097311,0.995225,-
a,0.131477,0.023744,u,g,q,v,0.000702,f,f,0,f,g,0.991035,0,-
b,0.008327,0.000345,u,g,c,v,0.000319,t,t,0.002126,f,g,0.039542,0.999181,+
a,0.105055,0.006215,y,p,k,v,0.004439,f,f,0,t,g,0.994437,0,-
b,0.300233,0.006126,u,g,ff,ff,0,t,f,0,f,g,0.953818,0.007337,-
a,0.020342,0.009352,u,g,i,v,0.000039,f,f,0,f,g,0.196067,0.980335,-
b,0.888242,0.290429,u,g,d,bb,0.235483,t,t,0.266881,t,g,0,0,+
b,0.777477,0.024219,u,g,m,v,0.026125,f,f,0,f,s,0.627902,0,-
a,0.011029,0.000718,u,g,c,v,0.000568,t,t,0.001915,t,g,0.094781,0.995435,+
b,0.15284,0.046971,u,g,d,v,0.004442,f,f,0,f,g,0.987124,0,-
b,0.484543,0.098847,y,p,c,h,0.038763,t,f,0,f,g,0.8683,0,-
b,0.096083,0.011886,u,g,w,v,0.011203,f,f,0,f,g,0.947178,0.305541,-
a,0.074977,0.004065,u,g,m,v,0.005419,t,f,0,f,s,0.997162,0,-
b,0.127525,0.012514,u,g,cc,h,0.021683,t,t,0.02478,f,g,0.99121,0,+
b,0.160379,0.010834,u,g,w,v,0.000561,f,t,0.008972,f,g,0.986945,0.004486,-
b,0.060994,0.002521,y,p,c,h,0.00072,f,f,0,f,g,0.806729,0.58776,-
b,0.042424,0.000631,u,g,k,v,0.000631,f,f,0,f,g,0.609162,0.79191,-
b,0.18865,0.007001,u,g,i,bb,0.01591,f,f,0,f,g,0.98189,0,+
a,0.015446,0.000701,u,g,w,v,0.000521,t,t,0.007682,f,g,0.057616,0.998189,+
b,0.204942,0.014891,u,g,aa,v,0.014891,t,f,0,f,s,0.978548,0,+
a,0.103884,0.007897,u,g,q,h,0.005383,t,t,0.010624,f,g,0.076138,0.991568,+
a,0.068794,0.012468,u,g,w,v,0.002771,f,f,0,t,g,0.997411,0.016624,-
b,0.104022,0.019556,y,p,ff,ff,0,f,f,0,t,g,0.994367,0.005524,-
b,0.148679,0.001366,y,p,k,h,0.010819,t,f,0,f,g,0.491771,0.857868,+
a,0.053985,0.001894,u,g,q,v,0.001894,t,t,0.003788,t,g,0.316331,0.9471,-
a,0.031109,0.001548,y,p,q,h,0.000095,t,t,0.017452,t,g,0.345239,0.937835,+
b,0.136809,0.000743,u,g,k,v,0.000301,t,f,0,t,g,0.990597,0,+
a,0.002125,0.001135,y,p,e,z,0,t,f,0,f,g,0,0.999997,+
b,0.006645,0.000555,u,g,i,bb,0.000123,f,f,0,t,g,0.157987,0.987419,-
b,0.134763,0.033711,u,g,i,h,0.003425,f,f,0,t,g,0.990298,0,-
a,0.092711,0.000987,u,g,m,h,0.000425,f,t,0.003402,t,g,0.925407,0.367441,-
b,0.995085,0.007243,u,g,c,j,0.098762,f,f,0,t,s,0,0,+
b,?,?,?,?,?,?,?,f,f,?,f,p,?,?,-
a,?,?,?,?,?,?,?,f,f,?,f,p,?,?,+
b,0.11879,0.006386,y,p,k,v,0.013704,t,t,0.005482,f,g,0.986717,0.109635,-
b,0.011695,0.000423,u,g,q,v,0.002238,t,t,0.000968,t,g,0.251616,0.967753,+
b,0.099618,0.050382,u,g,d,v,0.000434,f,f,0,f,g,0,0.993749,-
b,0.999954,0.009552,u,g,i,bb,0,t,f,0,t,g,0,0,+
b,0.008508,0.002059,u,g,m,v,0.001409,t,t,0.003035,f,g,0.052022,0.998602,+
b,?,?,u,g,c,v,?,t,t,?,f,g,?,?,+
a,0.98759,0.154916,u,g,k,v,0.025819,t,f,0,t,g,0,0,+
b,0.182217,0.003184,y,p,c,v,0.000307,f,t,0.015345,f,g,0.982055,0.046034,-
b,0.063284,0.004315,u,g,x,v,0.004201,t,t,0.002523,t,g,0.996697,0.050466,+
a,0.07871,0.00164,u,g,ff,ff,0,f,t,0.004895,f,g,0.783188,0.616761,-
b,0.005049,0.000212,u,g,x,h,0.000236,t,f,0,f,g,0,0.999987,+
b,0.370443,0.06538,u,g,w,v,0.143836,t,f,0,t,g,0.915319,0,+
b,0.17774,0.03066,u,g,ff,ff,0.046943,t,t,0.035822,t,g,0.097695,0.976953,+
a,0.973465,0.14689,u,g,q,v,0.162538,t,t,0.066117,t,g,0,0,+
b,0.000683,0.000031,u,g,cc,v,0.000031,t,t,0.00002,t,g,0.010399,0.999946,+
b,0.098271,0.013555,u,g,c,bb,0.006777,t,t,0.016266,f,g,0,0.994911,+
a,0.064817,0.003776,u,g,q,v,0.005477,t,f,0,t,g,0.997875,0,-
b,0.088752,0.011066,u,g,m,v,0.006916,t,f,0,t,g,0.995968,0,+
a,0.176744,0.023191,u,g,c,v,0.001546,f,t,0.006184,t,g,0.247367,0.952362,-
b,0.980814,0.145192,u,g,e,h,0.11957,t,t,0.051244,f,g,0,0,+
b,0.968418,0.172868,u,g,e,v,0.155626,t,t,0.089801,f,g,0,0,+
b,0.091591,0.007976,u,g,x,bb,0.000163,f,f,0,t,g,0.995765,0,-
b,0.135002,0.003096,u,g,aa,v,0.002254,t,f,0,t,g,0.990838,0,-
b,0.081329,0.00355,u,g,x,v,0.00026,t,t,0.010382,t,g,0.996627,0,+
a,0.051248,0.000434,u,g,q,v,0.000105,f,f,0,t,g,0.998686,0,-
b,0.073839,0.005417,u,g,c,v,0.002167,f,f,0,f,g,0.99665,0.034666,-
b,0.207071,0.057044,y,p,w,h,0.033276,t,f,0,t,g,0.976094,0,+
b,0.067472,0.01539,y,p,w,v,0.007229,t,t,0.003213,t,g,0.257037,0.963888,+
b,0.897333,0.441355,u,g,e,dd,0,t,f,0,f,g,0,0,+
a,0.154376,0.002847,u,g,i,v,0.002298,f,f,0,t,s,0.988005,0,-
a,0.15753,0.015422,u,g,ff,ff,0.015003,f,t,0.00987,t,g,0.987033,0.019741,-
b,0.136786,0.016049,u,g,c,v,0.000757,f,f,0,f,g,0.99047,0,-
a,0.070184,0.005777,u,g,c,h,0.00762,t,f,0,t,g,0.997484,0.002771,-
b,0.005625,0.002875,y,p,m,v,0.000375,f,f,0,t,g,0,0.99998,-
b,0.459228,0.175985,u,g,ff,ff,0,t,t,0.009262,f,g,0.870662,0,-
?,0.024948,0.000155,u,g,q,v,0.001242,f,t,0.001242,f,g,0.298182,0.954181,+
b,0.128051,0.032772,u,g,q,v,0.002323,t,t,0.006195,f,g,0.991204,0,-
b,0.049927,0.027175,y,p,aa,v,0.000082,f,f,0,t,g,0.24454,0.967972,-
b,0.136994,0.00172,u,g,m,v,0.00086,t,f,0,f,s,0.99057,0,-
b,0.201983,0.004407,u,g,m,v,0.008161,f,f,0,t,g,0.979311,0.008161,-
b,0.999993,0,u,g,cc,v,0.003669,t,f,0,f,g,0,0,+
b,0.038312,0,y,p,m,bb,0,f,f,0,t,s,0.999264,0.001999,+
b,0.000175,0.00022,l,gg,ff,o,0,f,f,0,t,p,0.0045,0.99999,+
b,0.060741,0.004771,u,g,aa,v,0.014312,t,f,0,t,g,0.99804,0,-
b,0.215357,0.054357,u,g,c,v,0.003047,f,f,0,f,s,0.975017,0,-
a,0.1572,0.003493,u,g,k,bb,0.004658,t,t,0.013973,t,g,0.987451,0,-
b,0.145011,0.080083,u,g,c,v,0.014501,f,f,0,t,g,0.986077,0,-
a,0.051238,0.001695,u,g,c,v,0.00452,f,t,0.00452,t,g,0.452033,0.890504,-
b,0.219942,0.066907,u,g,k,v,0.006082,t,f,0,f,g,0.973197,0,+
b,0.890127,0.438178,u,g,c,v,0.125194,t,f,0,t,g,0,0,+
b,0.196847,0.085453,y,p,ff,ff,0,f,t,0.012208,f,g,0.976608,0.006104,-
b,0.041872,0.005097,u,g,m,v,0.010137,t,t,0.004344,t,g,0.260661,0.964445,+
a,0.098344,0.047371,u,g,q,v,0.000777,f,t,0.006213,t,g,0,0.994005,-
a,0.028014,0.001528,u,g,q,v,0.000306,f,f,0,t,g,0.146668,0.988788,-
a,0.020336,0.004442,u,g,e,z,0,t,t,0.004146,f,g,0,0.999775,+
b,0.317015,0.023702,u,g,d,v,0.008888,f,f,0,t,g,0.948083,0,-
a,0.047604,0.00414,u,g,j,j,0,t,f,0,f,g,0.103488,0.993482,+
b,0.0699,0.001283,u,g,c,v,0.000682,f,t,0.003639,f,g,0.409358,0.909684,-
b,0.198392,0.100212,u,g,q,h,0.012877,t,f,0,t,g,0.974901,0,+
b,0.063481,0.010194,u,g,m,v,0.004292,f,t,0.002146,t,g,0.987191,0.145933,-
a,0.173088,0.018455,u,g,ff,ff,0,f,t,0.029529,f,g,0,0.984291,-
b,0.21068,0.018462,u,g,m,v,0.000543,t,f,0,t,g,0.977381,0,+
b,0.045674,0.003469,u,g,aa,v,0.002428,f,t,0.002775,t,g,0.998944,0,-
a,0.022578,0.000578,u,g,aa,v,0.000474,t,t,0.002526,f,g,0,0.999742,+
b,0.008119,0.000245,u,g,x,v,0.000184,t,t,0.001713,t,g,0.083225,0.996496,+
a,0.104664,0.00385,y,p,x,v,0.003548,f,f,0,f,g,0.993424,0.046123,-
a,0.049403,0.005988,u,g,q,h,0.003663,t,t,0.037925,f,g,0,0.998034,+
b,0.089246,0.013577,u,g,w,v,0.022628,t,t,0.006034,t,g,0.995642,0,+
a,0.086263,0.003969,u,g,ff,ff,0,f,t,0.003175,f,g,0.292093,0.952478,-
a,0.025803,0.000151,u,g,i,bb,0.000452,t,f,0,t,g,0.113917,0.993155,-
b,0.136976,0.013901,u,g,i,v,0.000772,f,f,0,f,g,0.988548,0.061784,-
a,0.037331,0.018251,y,p,c,v,0.001973,t,t,0.007892,t,g,0.157849,0.986555,+
b,0.004687,0.00058,u,g,k,v,0.000562,t,t,0.001339,f,g,0,0.999988,+
a,0.080123,0.004881,u,g,ff,ff,0,f,f,0,f,g,0.996769,0.002932,-
a,0.887984,0.454599,u,g,aa,v,0.069453,t,f,0,t,g,0,0,+
b,?,?,y,p,aa,v,?,t,f,?,f,g,?,?,-
a,0.331756,0.004416,u,g,q,v,0.006889,t,t,0.047108,f,g,0.942153,0,+
b,0.137439,0.018389,u,g,q,h,0.016975,t,f,0,t,g,0.990194,0,+
b,0.104009,0.018089,u,g,k,v,0.000241,f,f,0,t,g,0.964721,0.24118,-
b,0.18486,0.018349,u,g,c,v,0.01487,f,t,0.011896,t,g,0.951661,0.243863,-
b,0.127043,0.056464,u,g,d,h,0.002172,f,f,0,f,g,0.990286,0,-
b,0.085804,0.003466,y,p,c,v,0.008302,f,f,0,t,s,0.996271,0,-
b,0.077268,0.003323,u,g,c,v,0.002775,t,f,0,f,s,0.997001,0,+
a,0.022646,0.008555,u,g,q,v,0.001761,t,t,0.010065,f,g,0.080518,0.996407,-
b,0.988648,0.106759,u,g,q,v,0.105721,t,f,0,f,s,0,0,+
b,0.087911,0.000806,u,g,q,n,0.001026,f,f,0,f,g,0.976783,0.195357,+
b,0.224471,0.124317,u,g,ff,ff,0.005014,f,f,0,f,g,0.966506,0,-
b,0.099174,0.002425,y,p,cc,h,0.000518,f,f,0,f,g,0.995058,0.004146,-
a,0.039333,0.005098,u,g,cc,v,0.013763,t,f,0,t,g,0.999118,0,-
a,0.105434,0.001039,u,g,cc,h,0.000938,t,t,0.024851,t,g,0.994022,0.013555,+
a,0.149832,0.0821,u,g,w,v,0.00821,f,t,0.00821,f,g,0.985194,0.00821,-
b,0.579561,0.026786,u,g,w,v,0.017046,t,t,0.048703,t,g,0.584431,0.56495,+
b,0.292554,0.033884,u,g,i,bb,0.015248,f,f,0,t,g,0.955527,0,-
b,0.491337,0.079481,y,p,c,v,0.021677,f,f,0,t,g,0.867065,0,-
b,0.140241,0.018561,u,g,aa,v,0.004125,t,f,0,t,g,0.989935,0,-
b,0.02713,0.003565,u,g,m,v,0.001533,t,t,0.001188,f,g,0.30897,0.950676,+
a,0.049936,0.000515,u,g,aa,v,0.003121,f,t,0.006242,t,g,0.998723,0.003121,-
b,0.151433,0.068673,u,g,c,v,0.001761,t,f,0,f,g,0.986077,0,-
b,0.12269,0.003101,y,p,c,v,0.000165,f,f,0,f,g,0.99244,0,-
b,0.973796,0.085296,u,g,cc,h,0.210823,t,f,0,t,g,0,0,+
a,0.212699,0.007633,y,p,i,h,0.003053,f,f,0,t,g,0.977083,0,-
b,0.093733,0.002066,y,p,c,v,0.000821,f,t,0.004978,f,g,0.99557,0.004978,-
b,0.25315,0.008077,u,g,cc,v,0.011269,f,f,0,f,g,0.967328,0,-
b,0.364056,0.189272,u,g,w,v,0.013204,t,t,0.022636,f,g,0.905425,0.105633,+
b,0.089366,0.0219,y,p,j,v,0.001249,f,f,0,f,g,0.602953,0.792452,-
b,0.020754,0.000968,u,g,c,v,0.002259,t,t,0.006453,t,g,0.45432,0.89057,+
b,0.067091,0.012171,u,g,x,v,0.011281,t,t,0.00475,f,g,0.997459,0.016624,+
a,0.005375,0.001821,u,g,q,h,0.002124,t,t,0.001214,f,g,0,0.999981,+
b,0.191885,0.034234,y,p,c,bb,0.010189,t,t,0.054339,t,g,0.978106,0.047547,+
a,0.04028,0.019177,u,g,q,v,0.00074,t,t,0.008919,t,g,0,0.998964,+
b,0.999721,0,u,g,c,v,0.023612,f,f,0,t,s,0,0,-
a,0.33132,0.188771,u,g,ff,ff,0,f,f,0,f,g,0,0.924442,-
a,0.008719,0.003134,u,g,i,bb,0.001492,t,t,0.00194,f,g,0,0.999954,+
b,0.08075,0.038632,y,p,e,h,0.004788,f,f,0,f,g,0.995974,0,-
b,0.061205,0.004318,u,g,k,v,0.000238,f,f,0,t,g,0.998116,0,-
b,0.029572,0.00172,u,g,cc,h,0.001991,t,t,0.013022,t,g,0.632669,0.773744,+
a,0.122347,0.00306,u,g,aa,v,0.001957,f,f,0,f,g,0.70619,0.697362,-
b,0.055674,0.000923,u,g,c,v,0.003229,t,t,0.020299,f,g,0.059051,0.996489,+
b,0.223681,0.005773,u,g,q,v,0.000469,t,f,0,t,g,0.974645,0,+
b,0.304161,0.01095,u,g,ff,ff,0,f,t,0.009733,f,g,0.934383,0.18493,-
b,0.218062,0.011089,u,g,c,v,0.002218,f,f,0,f,g,0.975869,0,-
b,0.017871,0.002245,u,g,k,v,0.000015,f,f,0,f,g,0,0.999838,+
b,0.084299,0.001669,y,p,k,v,0.001445,f,f,0,f,s,0.996438,0,-
a,0.033877,0.017012,u,g,q,v,0.002225,t,t,0.007357,f,g,0.110349,0.99314,+
b,0.013343,0.000059,y,p,k,v,0.00004,f,f,0,f,g,0.102308,0.994663,-
?,0.035176,0.003015,u,g,i,bb,0.000431,f,f,0,f,s,0.999376,0,-
b,0.043034,0.000431,u,g,c,h,0.000216,t,t,0.006159,f,g,0.225846,0.973192,+
b,0.075019,0.000982,u,g,k,h,0.010265,f,f,0,t,g,0.997129,0,-
b,0.943596,0.330258,u,g,c,v,0.02359,f,f,0,f,g,0,0,-
b,0.152422,0.040905,u,g,c,v,0.020073,t,t,0.053528,t,g,0,0.985812,+
b,0.003178,0.000019,u,g,c,bb,0.001,t,t,0.001333,f,g,0,0.999994,+
b,0.110029,0.017116,u,g,q,v,0.00011,t,t,0.002756,f,g,0.551248,0.826873,+
b,0.041056,0.003037,y,p,aa,v,0.002977,t,t,0.004466,t,g,0.550782,0.833616,+
b,0.935695,0.27211,u,g,c,v,0.154195,t,t,0.163266,f,g,0,0,+
b,0.017609,0.000074,y,p,k,v,0.000091,t,t,0.003987,f,g,0.137744,0.990303,+
b,0.174281,0.09322,u,g,i,v,0.004053,t,f,0,t,g,0.810607,0.551213,-
b,0.15282,0.010916,u,g,k,h,0.022732,t,t,0.010916,t,g,0.987872,0,+
a,0.194574,0.087137,u,g,cc,h,0.007612,t,t,0.07105,f,g,0.974393,0,+
b,0.124675,0.023119,u,g,q,h,0.03798,t,t,0.023119,t,g,0.990794,0.016513,-
