@relation balance-scale-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute left-weight numeric
@attribute left-distance numeric
@attribute right-weight numeric
@attribute right-distance numeric
@attribute class {L,B,R}

@data
0.560112,0.70014,0.140028,0.420084,L
0.288675,0.288675,0.866025,0.288675,R
0.308607,0.46291,0.308607,0.771517,R
0.359211,0.538816,0.538816,0.538816,R
0.4,0.4,0.2,0.8,B
0.70014,0.420084,0.560112,0.140028,L
0.182574,0.365148,0.547723,0.730297,R
0.256074,0.512148,0.640184,0.512148,R
0.19245,0.7698,0.57735,0.19245,L
0.436436,0.436436,0.436436,0.654654,R
0.29173,0.729325,0.437595,0.437595,L
0.436436,0.436436,0.654654,0.436436,R
0.585206,0.468165,0.468165,0.468165,L
0.436436,0.654654,0.436436,0.436436,L
0.492366,0.369274,0.615457,0.492366,R
0.390567,0.650945,0.520756,0.390567,L
0.5,0.166667,0.833333,0.166667,R
0.213201,0.426401,0.213201,0.852803,R
0.223607,0.67082,0.67082,0.223607,B
0.606339,0.363803,0.363803,0.606339,B
0.229416,0.917663,0.229416,0.229416,L
0.441726,0.441726,0.552158,0.552158,R
0.471405,0.707107,0.471405,0.235702,L
0.171499,0.685994,0.685994,0.171499,B
0.609994,0.457496,0.457496,0.457496,L
0.645497,0.645497,0.129099,0.387298,L
0.656532,0.525226,0.131306,0.525226,L
0.182574,0.547723,0.365148,0.730297,R
0.420084,0.70014,0.560112,0.140028,L
0.488678,0.610847,0.610847,0.122169,L
0.685994,0.171499,0.171499,0.685994,B
0.520756,0.390567,0.650945,0.390567,R
0.617213,0.154303,0.46291,0.617213,R
0.416025,0.416025,0.416025,0.693375,R
0.27735,0.5547,0.5547,0.5547,R
0.437595,0.437595,0.29173,0.729325,R
0.424264,0.565685,0.565685,0.424264,B
0.866025,0.288675,0.288675,0.288675,L
0.478091,0.597614,0.239046,0.597614,L
0.316228,0.632456,0.632456,0.316228,B
0.547723,0.730297,0.365148,0.182574,L
0.365148,0.182574,0.547723,0.730297,R
0.471405,0.471405,0.235702,0.707107,L
0.486664,0.648886,0.486664,0.324443,L
0.129099,0.645497,0.387298,0.645497,R
0.285714,0.285714,0.571429,0.714286,R
0.545545,0.545545,0.327327,0.545545,L
0.179605,0.359211,0.898027,0.179605,R
0.213201,0.852803,0.426401,0.213201,L
0.152499,0.152499,0.762493,0.609994,R
0.609994,0.152499,0.152499,0.762493,R
0.693375,0.138675,0.138675,0.693375,B
0.26968,0.13484,0.6742,0.6742,R
0.387298,0.645497,0.645497,0.129099,L
0.46291,0.617213,0.617213,0.154303,L
0.46188,0.34641,0.57735,0.57735,R
0.707107,0.235702,0.471405,0.471405,R
0.342997,0.171499,0.342997,0.857493,R
0.492366,0.492366,0.615457,0.369274,L
0.480384,0.160128,0.800641,0.320256,R
0.377964,0.755929,0.377964,0.377964,L
0.408248,0.680414,0.544331,0.272166,L
0.262613,0.262613,0.656532,0.656532,R
0.258199,0.516398,0.258199,0.774597,R
0.730297,0.182574,0.365148,0.547723,R
0.377964,0.251976,0.629941,0.629941,R
0.676123,0.507093,0.169031,0.507093,L
0.441726,0.552158,0.441726,0.552158,B
0.565685,0.565685,0.424264,0.424264,L
0.365148,0.182574,0.730297,0.547723,R
0.589768,0.73721,0.294884,0.147442,L
0.324443,0.486664,0.486664,0.648886,R
0.632456,0.316228,0.632456,0.316228,B
0.5,0.5,0.5,0.5,B
0.596285,0.298142,0.447214,0.596285,R
0.46291,0.617213,0.154303,0.617213,L
0.392232,0.392232,0.588348,0.588348,R
0.471405,0.471405,0.707107,0.235702,L
0.610847,0.122169,0.488678,0.610847,R
0.272166,0.680414,0.408248,0.544331,R
0.308607,0.308607,0.46291,0.771517,R
0.208514,0.625543,0.625543,0.417029,R
0.67082,0.223607,0.67082,0.223607,B
0.272166,0.680414,0.544331,0.408248,R
0.239046,0.478091,0.597614,0.597614,R
0.516398,0.774597,0.258199,0.258199,L
0.486664,0.324443,0.486664,0.648886,R
0.2,0.4,0.4,0.8,R
0.8,0.4,0.2,0.4,L
0.596285,0.447214,0.298142,0.596285,L
0.251976,0.377964,0.629941,0.629941,R
0.512148,0.512148,0.256074,0.640184,L
0.571429,0.714286,0.285714,0.285714,L
0.164399,0.328798,0.657596,0.657596,R
0.4,0.8,0.2,0.4,L
0.348155,0.696311,0.522233,0.348155,L
0.512148,0.512148,0.640184,0.256074,L
0.520756,0.650945,0.390567,0.390567,L
0.617213,0.154303,0.617213,0.46291,R
0.730297,0.182574,0.547723,0.365148,R
0.316228,0.632456,0.632456,0.316228,B
0.272166,0.544331,0.408248,0.680414,R
0.420084,0.140028,0.560112,0.70014,R
0.4,0.4,0.8,0.2,B
0.377964,0.377964,0.755929,0.377964,R
0.5,0.5,0.5,0.5,B
0.147442,0.589768,0.73721,0.294884,R
0.507093,0.169031,0.507093,0.676123,R
0.471405,0.235702,0.707107,0.471405,R
0.629941,0.377964,0.629941,0.251976,L
0.522233,0.348155,0.348155,0.696311,R
0.213201,0.852803,0.213201,0.426401,L
0.408248,0.680414,0.272166,0.544331,L
0.507093,0.676123,0.507093,0.169031,L
0.645497,0.387298,0.645497,0.129099,L
0.182574,0.547723,0.730297,0.365148,R
0.676123,0.169031,0.507093,0.507093,R
0.525226,0.525226,0.131306,0.656532,L
0.365148,0.547723,0.182574,0.730297,L
0.182574,0.730297,0.365148,0.547723,R
0.657596,0.328798,0.657596,0.164399,L
0.762493,0.609994,0.152499,0.152499,L
0.417029,0.208514,0.625543,0.625543,R
0.468165,0.468165,0.585206,0.468165,R
0.452267,0.452267,0.150756,0.753778,L
0.327327,0.545545,0.545545,0.545545,R
0.632456,0.316228,0.316228,0.632456,B
0.944911,0.188982,0.188982,0.188982,L
0.437595,0.729325,0.29173,0.437595,L
0.188982,0.188982,0.944911,0.188982,R
0.625543,0.625543,0.208514,0.417029,L
0.308607,0.771517,0.308607,0.46291,L
0.142857,0.571429,0.571429,0.571429,R
0.625543,0.208514,0.417029,0.625543,R
0.571429,0.285714,0.285714,0.714286,R
0.437595,0.29173,0.729325,0.437595,R
0.753778,0.452267,0.150756,0.452267,L
0.852803,0.213201,0.426401,0.213201,L
0.538816,0.538816,0.359211,0.538816,L
0.258199,0.516398,0.774597,0.258199,R
0.179605,0.898027,0.359211,0.179605,L
0.452267,0.452267,0.753778,0.150756,L
0.6742,0.26968,0.13484,0.6742,L
0.166667,0.833333,0.166667,0.5,L
0.150756,0.452267,0.753778,0.452267,R
0.552158,0.441726,0.552158,0.441726,B
0.640184,0.512148,0.512148,0.256074,L
0.147442,0.73721,0.589768,0.294884,R
0.629941,0.377964,0.251976,0.629941,L
0.5,0.833333,0.166667,0.166667,L
0.774597,0.516398,0.258199,0.258199,L
0.308607,0.771517,0.46291,0.308607,L
0.419314,0.524142,0.524142,0.524142,R
0.650945,0.520756,0.390567,0.390567,L
0.729325,0.29173,0.437595,0.437595,L
0.525226,0.131306,0.656532,0.525226,R
0.57735,0.57735,0.46188,0.34641,L
0.223607,0.223607,0.67082,0.67082,R
0.294884,0.73721,0.589768,0.147442,L
0.544331,0.272166,0.680414,0.408248,R
0.437595,0.729325,0.437595,0.29173,L
0.377964,0.377964,0.377964,0.755929,R
0.19245,0.19245,0.57735,0.7698,R
0.57735,0.46188,0.34641,0.57735,L
0.188982,0.188982,0.188982,0.944911,R
0.316228,0.316228,0.632456,0.632456,R
0.544331,0.680414,0.408248,0.272166,L
0.147442,0.73721,0.294884,0.589768,R
0.573539,0.114708,0.573539,0.573539,R
0.131306,0.656532,0.525226,0.525226,R
0.478091,0.597614,0.597614,0.239046,L
0.547723,0.182574,0.730297,0.365148,R
0.387298,0.645497,0.129099,0.645497,L
0.140028,0.420084,0.70014,0.560112,R
0.762493,0.152499,0.152499,0.609994,L
0.5,0.5,0.5,0.5,B
0.131306,0.525226,0.656532,0.525226,R
0.46291,0.771517,0.308607,0.308607,L
0.917663,0.229416,0.229416,0.229416,L
0.524142,0.524142,0.419314,0.524142,L
0.152499,0.762493,0.152499,0.609994,L
0.562544,0.562544,0.562544,0.225018,L
0.122169,0.610847,0.610847,0.488678,R
0.774597,0.258199,0.516398,0.258199,L
0.596285,0.298142,0.596285,0.447214,R
0.171499,0.171499,0.685994,0.685994,R
0.208514,0.625543,0.417029,0.625543,R
0.447214,0.298142,0.596285,0.596285,R
0.160128,0.320256,0.480384,0.800641,R
0.57735,0.19245,0.19245,0.7698,R
0.800641,0.480384,0.160128,0.320256,L
0.182574,0.730297,0.547723,0.365148,R
0.524142,0.419314,0.524142,0.524142,R
0.73721,0.147442,0.589768,0.294884,R
0.617213,0.46291,0.154303,0.617213,L
0.507093,0.507093,0.676123,0.169031,L
0.166667,0.166667,0.5,0.833333,R
0.545545,0.545545,0.545545,0.327327,L
0.7698,0.19245,0.19245,0.57735,L
0.693375,0.693375,0.138675,0.138675,L
0.19245,0.57735,0.7698,0.19245,R
0.294884,0.147442,0.589768,0.73721,R
0.294884,0.589768,0.147442,0.73721,L
0.251976,0.629941,0.629941,0.377964,R
0.160128,0.320256,0.800641,0.480384,R
0.478091,0.239046,0.597614,0.597614,R
0.898027,0.179605,0.179605,0.359211,L
0.547723,0.365148,0.730297,0.182574,L
0.160128,0.800641,0.320256,0.480384,R
0.57735,0.19245,0.7698,0.19245,R
0.416025,0.416025,0.693375,0.416025,R
0.416025,0.693375,0.416025,0.416025,L
0.320256,0.800641,0.160128,0.480384,L
0.258199,0.774597,0.516398,0.258199,L
0.152499,0.609994,0.152499,0.762493,R
0.19245,0.19245,0.7698,0.57735,R
0.140028,0.420084,0.560112,0.70014,R
0.648886,0.486664,0.486664,0.324443,L
0.693375,0.138675,0.693375,0.138675,B
0.213201,0.213201,0.852803,0.426401,R
0.833333,0.166667,0.5,0.166667,L
0.457496,0.609994,0.457496,0.457496,L
0.898027,0.359211,0.179605,0.179605,L
0.188982,0.566947,0.566947,0.566947,R
0.294884,0.589768,0.73721,0.147442,L
0.588348,0.392232,0.588348,0.392232,B
0.363803,0.363803,0.606339,0.606339,R
0.640184,0.512148,0.256074,0.512148,L
0.800641,0.160128,0.320256,0.480384,R
0.348155,0.348155,0.696311,0.522233,R
0.512148,0.256074,0.512148,0.640184,R
0.46291,0.308607,0.308607,0.771517,R
0.262613,0.656532,0.262613,0.656532,B
0.610847,0.488678,0.122169,0.610847,L
0.6742,0.13484,0.26968,0.6742,R
0.160128,0.480384,0.320256,0.800641,R
0.70014,0.420084,0.140028,0.560112,L
0.328798,0.328798,0.328798,0.821995,R
0.547723,0.182574,0.365148,0.730297,R
0.588348,0.392232,0.392232,0.588348,B
0.390567,0.390567,0.520756,0.650945,R
0.680414,0.408248,0.272166,0.544331,L
0.179605,0.179605,0.359211,0.898027,R
0.562544,0.562544,0.225018,0.562544,L
0.492366,0.615457,0.369274,0.492366,L
0.560112,0.70014,0.420084,0.140028,L
0.833333,0.166667,0.166667,0.5,L
0.6742,0.6742,0.26968,0.13484,L
0.437595,0.437595,0.729325,0.29173,R
0.34641,0.57735,0.57735,0.46188,R
0.507093,0.507093,0.169031,0.676123,L
0.152499,0.762493,0.609994,0.152499,L
0.320256,0.480384,0.160128,0.800641,L
0.656532,0.525226,0.525226,0.131306,L
0.122169,0.610847,0.488678,0.610847,R
0.377964,0.377964,0.755929,0.377964,R
0.13484,0.26968,0.6742,0.6742,R
0.225018,0.562544,0.562544,0.562544,R
0.730297,0.365148,0.182574,0.547723,L
0.755929,0.377964,0.377964,0.377964,L
0.650945,0.390567,0.390567,0.520756,L
0.657596,0.164399,0.657596,0.328798,R
0.140028,0.70014,0.560112,0.420084,R
0.420084,0.560112,0.140028,0.70014,L
0.129099,0.645497,0.645497,0.387298,R
0.4,0.2,0.8,0.4,R
0.417029,0.625543,0.208514,0.625543,L
0.67082,0.67082,0.223607,0.223607,L
0.632456,0.632456,0.316228,0.316228,L
0.645497,0.129099,0.645497,0.387298,R
0.771517,0.308607,0.308607,0.46291,L
0.471405,0.235702,0.471405,0.707107,R
0.19245,0.57735,0.19245,0.7698,R
0.571429,0.571429,0.142857,0.571429,L
0.182574,0.365148,0.730297,0.547723,R
0.46188,0.57735,0.57735,0.34641,L
0.166667,0.833333,0.5,0.166667,L
0.524142,0.524142,0.524142,0.419314,L
0.46188,0.57735,0.34641,0.57735,L
0.26968,0.6742,0.13484,0.6742,L
0.342997,0.857493,0.342997,0.171499,L
0.730297,0.365148,0.547723,0.182574,L
0.486664,0.486664,0.324443,0.648886,L
0.597614,0.478091,0.239046,0.597614,L
0.152499,0.152499,0.609994,0.762493,R
0.544331,0.408248,0.272166,0.680414,L
0.5547,0.5547,0.27735,0.5547,L
0.179605,0.898027,0.179605,0.359211,L
0.625543,0.625543,0.417029,0.208514,L
0.617213,0.617213,0.154303,0.46291,L
0.609994,0.152499,0.762493,0.152499,R
0.377964,0.377964,0.377964,0.755929,R
0.437595,0.29173,0.437595,0.729325,R
0.377964,0.629941,0.629941,0.251976,L
0.8,0.4,0.4,0.2,L
0.7698,0.57735,0.19245,0.19245,L
0.320256,0.160128,0.480384,0.800641,R
0.468165,0.585206,0.468165,0.468165,L
0.70014,0.560112,0.140028,0.420084,L
0.657596,0.657596,0.328798,0.164399,L
0.480384,0.800641,0.320256,0.160128,L
0.512148,0.256074,0.640184,0.512148,R
0.529813,0.39736,0.529813,0.529813,R
0.5,0.5,0.5,0.5,B
0.387298,0.129099,0.645497,0.645497,R
0.140028,0.560112,0.70014,0.420084,R
0.645497,0.387298,0.129099,0.645497,L
0.272166,0.408248,0.680414,0.544331,R
0.488678,0.122169,0.610847,0.610847,R
0.154303,0.617213,0.617213,0.46291,R
0.285714,0.571429,0.285714,0.714286,R
0.544331,0.272166,0.408248,0.680414,R
0.417029,0.625543,0.625543,0.208514,L
0.328798,0.657596,0.164399,0.657596,L
0.369274,0.492366,0.492366,0.615457,R
0.179605,0.359211,0.179605,0.898027,R
0.169031,0.507093,0.507093,0.676123,R
0.342997,0.342997,0.171499,0.857493,R
0.597614,0.239046,0.478091,0.597614,R
0.390567,0.520756,0.390567,0.650945,R
0.420084,0.70014,0.140028,0.560112,L
0.258199,0.774597,0.258199,0.516398,L
0.762493,0.152499,0.609994,0.152499,L
0.650945,0.390567,0.520756,0.390567,L
0.369274,0.615457,0.492366,0.492366,R
0.571429,0.571429,0.571429,0.142857,L
0.468165,0.468165,0.468165,0.585206,R
0.377964,0.755929,0.377964,0.377964,L
0.654654,0.436436,0.436436,0.436436,L
0.13484,0.6742,0.26968,0.6742,R
0.57735,0.57735,0.34641,0.46188,L
0.316228,0.316228,0.632456,0.632456,R
0.545545,0.327327,0.545545,0.545545,R
0.188982,0.944911,0.188982,0.188982,L
0.544331,0.680414,0.272166,0.408248,L
0.8,0.2,0.4,0.4,B
0.560112,0.140028,0.70014,0.420084,R
0.452267,0.753778,0.452267,0.150756,L
0.420084,0.140028,0.70014,0.560112,R
0.131306,0.525226,0.525226,0.656532,R
0.57735,0.34641,0.46188,0.57735,R
0.522233,0.696311,0.348155,0.348155,L
0.223607,0.67082,0.223607,0.67082,B
0.348155,0.522233,0.348155,0.696311,R
0.285714,0.571429,0.714286,0.285714,R
0.166667,0.5,0.833333,0.166667,R
0.560112,0.420084,0.140028,0.70014,L
0.138675,0.693375,0.138675,0.693375,B
0.656532,0.131306,0.525226,0.525226,R
0.235702,0.471405,0.707107,0.471405,R
0.610847,0.122169,0.610847,0.488678,R
0.359211,0.179605,0.898027,0.179605,R
0.166667,0.166667,0.833333,0.5,R
0.857493,0.171499,0.342997,0.342997,L
0.729325,0.437595,0.29173,0.437595,L
0.122169,0.488678,0.610847,0.610847,R
0.452267,0.753778,0.150756,0.452267,L
0.714286,0.285714,0.571429,0.285714,L
0.452267,0.150756,0.452267,0.753778,R
0.573539,0.573539,0.114708,0.573539,L
0.707107,0.471405,0.471405,0.235702,L
0.4,0.8,0.4,0.2,L
0.213201,0.426401,0.852803,0.213201,R
0.522233,0.348155,0.696311,0.348155,R
0.73721,0.294884,0.147442,0.589768,L
0.390567,0.390567,0.650945,0.520756,R
0.480384,0.320256,0.800641,0.160128,L
0.656532,0.262613,0.262613,0.656532,B
0.6742,0.13484,0.6742,0.26968,R
0.657596,0.328798,0.164399,0.657596,L
0.447214,0.596285,0.298142,0.596285,L
0.169031,0.507093,0.676123,0.507093,R
0.480384,0.800641,0.160128,0.320256,L
0.5547,0.27735,0.5547,0.5547,R
0.169031,0.676123,0.507093,0.507093,R
0.154303,0.617213,0.46291,0.617213,R
0.5,0.166667,0.166667,0.833333,R
0.316228,0.632456,0.316228,0.632456,B
0.606339,0.606339,0.363803,0.363803,L
0.294884,0.73721,0.147442,0.589768,L
0.486664,0.324443,0.648886,0.486664,R
0.629941,0.629941,0.251976,0.377964,L
0.359211,0.179605,0.179605,0.898027,R
0.256074,0.512148,0.512148,0.640184,R
0.685994,0.685994,0.171499,0.171499,L
0.486664,0.648886,0.324443,0.486664,L
0.560112,0.140028,0.420084,0.70014,R
0.625543,0.208514,0.625543,0.417029,R
0.852803,0.213201,0.213201,0.426401,L
0.369274,0.492366,0.615457,0.492366,R
0.308607,0.46291,0.771517,0.308607,R
0.359211,0.898027,0.179605,0.179605,L
0.488678,0.610847,0.122169,0.610847,L
0.516398,0.258199,0.774597,0.258199,R
0.730297,0.547723,0.182574,0.365148,L
0.57735,0.46188,0.57735,0.34641,L
0.73721,0.147442,0.294884,0.589768,R
0.171499,0.685994,0.171499,0.685994,B
0.262613,0.656532,0.656532,0.262613,B
0.171499,0.857493,0.342997,0.342997,L
0.774597,0.258199,0.258199,0.516398,L
0.392232,0.588348,0.392232,0.588348,B
0.13484,0.6742,0.6742,0.26968,R
0.632456,0.316228,0.316228,0.632456,B
0.166667,0.5,0.166667,0.833333,R
0.160128,0.480384,0.800641,0.320256,R
0.27735,0.5547,0.5547,0.5547,R
0.320256,0.800641,0.480384,0.160128,L
0.424264,0.424264,0.565685,0.565685,R
0.150756,0.452267,0.452267,0.753778,R
0.615457,0.492366,0.369274,0.492366,L
0.615457,0.492366,0.492366,0.369274,L
0.685994,0.171499,0.685994,0.171499,B
0.138675,0.138675,0.693375,0.693375,R
0.596285,0.596285,0.298142,0.447214,L
0.164399,0.657596,0.328798,0.657596,R
0.19245,0.7698,0.19245,0.57735,L
0.5547,0.5547,0.27735,0.5547,L
0.573539,0.573539,0.573539,0.114708,L
0.648886,0.486664,0.324443,0.486664,L
0.552158,0.552158,0.441726,0.441726,L
0.729325,0.437595,0.437595,0.29173,L
0.492366,0.492366,0.369274,0.615457,L
0.565685,0.424264,0.424264,0.565685,B
0.424264,0.565685,0.424264,0.565685,B
0.298142,0.596285,0.447214,0.596285,R
0.324443,0.486664,0.648886,0.486664,R
0.492366,0.615457,0.492366,0.369274,L
0.5547,0.5547,0.5547,0.27735,L
0.680414,0.408248,0.544331,0.272166,L
0.610847,0.488678,0.610847,0.122169,L
0.179605,0.179605,0.898027,0.359211,R
0.408248,0.272166,0.680414,0.544331,R
0.597614,0.239046,0.597614,0.478091,R
0.426401,0.213201,0.852803,0.213201,R
0.714286,0.285714,0.285714,0.571429,L
0.70014,0.140028,0.420084,0.560112,R
0.625543,0.417029,0.208514,0.625543,L
0.771517,0.308607,0.46291,0.308607,L
0.140028,0.70014,0.420084,0.560112,R
0.566947,0.566947,0.566947,0.188982,L
0.520756,0.390567,0.390567,0.650945,R
0.629941,0.251976,0.377964,0.629941,R
0.298142,0.447214,0.596285,0.596285,R
0.365148,0.730297,0.182574,0.547723,L
0.525226,0.131306,0.525226,0.656532,R
0.348155,0.522233,0.696311,0.348155,R
0.348155,0.696311,0.348155,0.522233,L
0.392232,0.588348,0.588348,0.392232,B
0.657596,0.164399,0.328798,0.657596,R
0.538816,0.359211,0.538816,0.538816,R
0.285714,0.714286,0.571429,0.285714,L
0.441726,0.552158,0.552158,0.441726,B
0.696311,0.348155,0.522233,0.348155,L
0.408248,0.544331,0.680414,0.272166,L
0.617213,0.617213,0.46291,0.154303,L
0.150756,0.753778,0.452267,0.452267,R
0.492366,0.369274,0.492366,0.615457,R
0.152499,0.609994,0.762493,0.152499,R
0.235702,0.707107,0.471405,0.471405,R
0.640184,0.256074,0.512148,0.512148,R
0.714286,0.571429,0.285714,0.285714,L
0.571429,0.142857,0.571429,0.571429,R
0.29173,0.437595,0.437595,0.729325,R
0.525226,0.656532,0.525226,0.131306,L
0.408248,0.544331,0.272166,0.680414,L
0.707107,0.471405,0.235702,0.471405,L
0.609994,0.762493,0.152499,0.152499,L
0.4,0.2,0.4,0.8,R
0.2,0.8,0.4,0.4,B
0.251976,0.629941,0.377964,0.629941,R
0.213201,0.213201,0.426401,0.852803,R
0.114708,0.573539,0.573539,0.573539,R
0.457496,0.457496,0.457496,0.609994,R
0.420084,0.560112,0.70014,0.140028,L
0.529813,0.529813,0.529813,0.39736,L
0.258199,0.258199,0.774597,0.516398,R
0.625543,0.417029,0.625543,0.208514,L
0.57735,0.34641,0.57735,0.46188,R
0.147442,0.294884,0.73721,0.589768,R
0.328798,0.657596,0.657596,0.164399,L
0.730297,0.547723,0.365148,0.182574,L
0.39736,0.529813,0.529813,0.529813,R
0.857493,0.342997,0.171499,0.342997,L
0.597614,0.597614,0.478091,0.239046,L
0.596285,0.447214,0.596285,0.298142,L
0.512148,0.640184,0.512148,0.256074,L
0.348155,0.348155,0.522233,0.696311,R
0.377964,0.629941,0.251976,0.629941,L
0.800641,0.480384,0.320256,0.160128,L
0.753778,0.452267,0.452267,0.150756,L
0.800641,0.320256,0.160128,0.480384,L
0.328798,0.164399,0.657596,0.657596,R
0.129099,0.387298,0.645497,0.645497,R
0.629941,0.629941,0.377964,0.251976,L
0.565685,0.424264,0.565685,0.424264,B
0.589768,0.147442,0.294884,0.73721,R
0.67082,0.223607,0.223607,0.67082,B
0.390567,0.520756,0.650945,0.390567,R
0.753778,0.150756,0.452267,0.452267,R
0.452267,0.150756,0.753778,0.452267,R
0.57735,0.7698,0.19245,0.19245,L
0.486664,0.486664,0.648886,0.324443,L
0.272166,0.408248,0.544331,0.680414,R
0.507093,0.676123,0.169031,0.507093,L
0.26968,0.6742,0.6742,0.13484,L
0.588348,0.588348,0.392232,0.392232,L
0.589768,0.294884,0.73721,0.147442,L
0.342997,0.171499,0.857493,0.342997,R
0.507093,0.169031,0.676123,0.507093,R
0.898027,0.179605,0.359211,0.179605,L
