@relation german_credit-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
'no checking',0.012364,'critical/other existing credit','new car',0.999441,>=1000,>=7,0.002061,'male single',none,0.002061,'real estate',0.030911,none,own,0.000515,skilled,0.000515,yes,yes,good
0<=X<200,0.008099,'existing paid','new car',0.999962,100<=X<500,<1,0.00054,'female div/dep/mar',none,0.00027,'life insurance',0.00324,none,own,0.000135,'high qualif/self emp/mgmt',0.000135,none,yes,bad
0<=X<200,0.010159,'existing paid',radio/tv,0.99895,<100,<1,0.005079,'male mar/wid',none,0.005079,'real estate',0.044022,none,own,0.001693,'unskilled resident',0.001693,none,no,good
0<=X<200,0.00283,'critical/other existing credit',furniture/equipment,0.999975,<100,>=7,0.000314,'male single',none,0.000157,'no known property',0.006445,none,own,0.000157,skilled,0.000157,yes,yes,good
0<=X<200,0.008508,'no credits/all paid',retraining,0.99972,<100,1<=X<4,0.001418,'male single',none,0.001418,'real estate',0.02198,none,own,0.000709,'unskilled resident',0.000709,yes,yes,good
'no checking',0.011174,'existing paid',retraining,0.998921,'no known savings',4<=X<7,0.004469,'female div/dep/mar',none,0.003352,'life insurance',0.044694,none,own,0.001117,skilled,0.001117,yes,yes,good
<0,0.004682,'critical/other existing credit',furniture/equipment,0.999973,<100,>=7,0.000234,'female div/dep/mar',none,0.000936,'life insurance',0.005618,none,own,0.000468,skilled,0.000234,none,yes,good
'no checking',0.009789,'critical/other existing credit',education,0.999742,100<=X<500,1<=X<4,0.00261,'female div/dep/mar',none,0.001958,car,0.02023,none,own,0.000653,skilled,0.000653,none,yes,good
'no checking',0.018637,'critical/other existing credit','new car',0.999402,>=1000,>=7,0.003106,'female div/dep/mar',none,0.003106,'real estate',0.028732,none,own,0.001553,skilled,0.000777,yes,yes,good
<0,0.016639,'existing paid','new car',0.999726,<100,4<=X<7,0.002773,'female div/dep/mar',none,0.002773,car,0.015946,none,rent,0.001387,skilled,0.000693,none,yes,bad
<0,0.009415,'existing paid','new car',0.999531,<100,<1,0.002354,'female div/dep/mar',none,0.000785,'real estate',0.029029,none,own,0.000785,'unskilled resident',0.000785,none,yes,bad
0<=X<200,0.006441,'all paid','new car',0.999387,100<=X<500,<1,0.001073,'female div/dep/mar',none,0.001073,'life insurance',0.034351,stores,own,0.001073,'unskilled resident',0.001073,none,yes,bad
<0,0.013926,'existing paid',furniture/equipment,0.993395,<100,>=7,0.004642,'female div/dep/mar',none,0.002321,'life insurance',0.11373,bank,own,0.002321,skilled,0.002321,yes,yes,good
'no checking',0.009908,'existing paid',business,0.999927,<100,unemployed,0.000619,'male single',none,0.000413,car,0.006812,bank,rent,0.000206,'high qualif/self emp/mgmt',0.000206,yes,yes,bad
>=200,0.008297,'existing paid',furniture/equipment,0.999809,<100,>=7,0.001037,'male div/sep',none,0.001383,'no known property',0.017631,none,'for free',0.000346,skilled,0.000346,none,yes,good
'no checking',0.00778,'existing paid',business,0.999693,<100,4<=X<7,0.001297,'male single',none,0.002593,car,0.023339,none,own,0.000648,skilled,0.000648,yes,yes,good
'no checking',0.010194,'critical/other existing credit',radio/tv,0.999657,<100,1<=X<4,0.002718,'male single',none,0.002718,'no known property',0.023785,none,'for free',0.001359,skilled,0.00068,yes,yes,good
'no checking',0.009219,'existing paid','used car',0.999898,>=1000,1<=X<4,0.000768,'female div/dep/mar',none,0.001537,car,0.010756,none,rent,0.000384,skilled,0.000384,yes,yes,good
<0,0.007311,'existing paid',furniture/equipment,0.999933,<100,1<=X<4,0.000812,'male single',none,0.000812,car,0.008935,none,own,0.000406,skilled,0.000406,none,yes,bad
<0,0.003739,'critical/other existing credit','used car',0.99999,<100,4<=X<7,0.000415,'male single',none,0.000415,car,0.002492,none,own,0.000208,skilled,0.000104,yes,yes,bad
'no checking',0.007231,'critical/other existing credit',education,0.999419,'no known savings',>=7,0.003214,'female div/dep/mar',none,0.003214,'life insurance',0.032939,none,rent,0.001607,'unskilled resident',0.000803,none,yes,good
'no checking',0.009386,'existing paid',radio/tv,0.999886,'no known savings',>=7,0.000521,'female div/dep/mar',none,0.001043,'real estate',0.011733,none,own,0.000261,'unskilled resident',0.000261,yes,yes,good
0<=X<200,0.007481,'all paid',business,0.999929,<100,>=7,0.000623,'female div/dep/mar',none,0.000468,'no known property',0.009195,none,rent,0.000156,skilled,0.000156,none,yes,bad
'no checking',0.002846,'existing paid',radio/tv,0.9999,<100,4<=X<7,0.000949,'male mar/wid',none,0.000949,'real estate',0.013756,none,rent,0.000474,skilled,0.000474,none,yes,good
'no checking',0.005788,'existing paid','new car',0.999975,<100,>=7,0.000193,'male single',none,0.000386,'life insurance',0.004052,none,own,0.000096,'high qualif/self emp/mgmt',0.000096,yes,yes,good
'no checking',0.01139,'critical/other existing credit',radio/tv,0.999294,500<=X<1000,1<=X<4,0.001519,'male mar/wid',none,0.001519,'life insurance',0.035689,none,own,0.001519,'unskilled resident',0.000759,none,yes,good
'no checking',0.006162,'critical/other existing credit','used car',0.999963,<100,>=7,0.000342,'male single',none,0.000342,'life insurance',0.005991,none,own,0.000342,skilled,0.000342,yes,yes,good
0<=X<200,0.013763,'critical/other existing credit',radio/tv,0.999522,<100,>=7,0.002294,'male single',none,0.001147,'life insurance',0.027526,none,own,0.001147,'unskilled resident',0.000573,none,yes,good
'no checking',0.012622,'existing paid',radio/tv,0.999799,100<=X<500,1<=X<4,0.002104,'male single',none,0.002104,car,0.015252,none,rent,0.000526,'high qualif/self emp/mgmt',0.000526,yes,yes,good
'no checking',0.003269,'existing paid',radio/tv,0.999912,100<=X<500,>=7,0.00109,'male single','co applicant',0.001453,car,0.012712,none,own,0.000363,skilled,0.000363,yes,yes,good
<0,0.012209,'existing paid','new car',0.999856,<100,4<=X<7,0.001017,'male single',none,0.001017,'no known property',0.0117,none,'for free',0.000254,skilled,0.000509,none,yes,bad
<0,0.009998,'existing paid',education,0.999755,'no known savings',1<=X<4,0.003333,'female div/dep/mar',none,0.003333,'life insurance',0.019162,bank,rent,0.000833,skilled,0.000833,yes,yes,good
<0,0.009623,'critical/other existing credit','new car',0.998828,<100,4<=X<7,0.003849,'male single','co applicant',0.002887,'life insurance',0.047151,none,own,0.001925,skilled,0.000962,yes,yes,good
0<=X<200,0.005711,'delayed previously',furniture/equipment,0.999419,<100,unemployed,0.003807,'male single',none,0.000952,'life insurance',0.033314,stores,own,0.001904,'high qualif/self emp/mgmt',0.000952,yes,yes,good
0<=X<200,0.009906,'existing paid',repairs,0.999841,100<=X<500,1<=X<4,0.002642,'male single',guarantor,0.001321,'real estate',0.014529,none,own,0.00066,skilled,0.00066,none,yes,good
<0,0.006588,'existing paid',radio/tv,0.999841,<100,<1,0.002196,'female div/dep/mar',none,0.002928,'life insurance',0.016103,none,rent,0.000732,skilled,0.000732,none,yes,bad
'no checking',0.010596,'critical/other existing credit',radio/tv,0.999875,<100,1<=X<4,0.001413,'female div/dep/mar',none,0.000706,car,0.011655,none,own,0.000353,skilled,0.000353,yes,yes,good
<0,0.005129,'existing paid',radio/tv,0.999961,<100,4<=X<7,0.00114,'female div/dep/mar',guarantor,0.000285,'real estate',0.007124,none,own,0.000285,skilled,0.000285,none,yes,good
'no checking',0.011805,'delayed previously','new car',0.99949,<100,>=7,0.001968,'male single',none,0.001968,'no known property',0.029513,none,'for free',0.000984,skilled,0.000492,yes,yes,good
0<=X<200,0.007828,'existing paid',furniture/equipment,0.999953,<100,<1,0.000522,'male mar/wid',none,0.000261,'life insurance',0.005741,none,own,0.000261,skilled,0.000261,none,yes,good
'no checking',0.008941,'critical/other existing credit',radio/tv,0.999873,<100,1<=X<4,0.00149,'male single',none,0.000745,'real estate',0.013039,none,own,0.000745,'unskilled resident',0.000373,none,yes,good
'no checking',0.003135,'delayed previously','used car',0.99999,>=1000,1<=X<4,0.000232,'male single',none,0.000232,car,0.003135,none,own,0.000232,skilled,0.000116,none,yes,good
<0,0.003654,'existing paid',business,0.999988,<100,1<=X<4,0.000305,'male mar/wid',none,0.000305,car,0.003197,stores,own,0.000152,'unskilled resident',0.000152,none,yes,good
'no checking',0.009192,'existing paid','new car',0.999944,'no known savings',1<=X<4,0.000613,'male single',none,0.000613,'no known property',0.005209,none,'for free',0.000153,skilled,0.000306,yes,yes,good
<0,0.00558,'existing paid','new car',0.999964,'no known savings',4<=X<7,0.000531,'male single','co applicant',0.000531,'real estate',0.006378,none,own,0.000266,'unskilled resident',0.000266,none,no,good
'no checking',0.004703,'critical/other existing credit',radio/tv,0.999946,<100,<1,0.000588,'male mar/wid',none,0.000588,'no known property',0.00921,none,'for free',0.000588,skilled,0.000196,yes,yes,good
>=200,0.012465,'existing paid',furniture/equipment,0.99983,<100,1<=X<4,0.001039,'male single',none,0.001039,'real estate',0.013504,none,own,0.000519,skilled,0.000519,none,yes,good
<0,0.006756,'all paid',furniture/equipment,0.999947,<100,4<=X<7,0.000845,'male single',none,0.001126,car,0.007601,bank,own,0.000282,skilled,0.000282,none,yes,bad
'no checking',0.015981,'existing paid',radio/tv,0.99969,'no known savings',<1,0.003551,'female div/dep/mar',none,0.001776,'real estate',0.018644,none,rent,0.000888,skilled,0.000888,yes,yes,good
'no checking',0.00735,'critical/other existing credit','new car',0.999668,<100,1<=X<4,0.00245,'male single',none,0.000817,'real estate',0.024502,none,own,0.001633,skilled,0.000817,none,yes,good
>=200,0.029172,'all paid',radio/tv,0.994278,>=1000,1<=X<4,0.007293,'female div/dep/mar',none,0.007293,'real estate',0.102102,none,rent,0.004862,skilled,0.002431,none,yes,good
0<=X<200,0.000412,'existing paid','new car',0.999999,'no known savings',unemployed,0.000069,'male single',none,0.000137,'life insurance',0.00158,none,own,0.000069,'unemp/unskilled non res',0.000069,yes,yes,bad
'no checking',0.012286,'critical/other existing credit',radio/tv,0.999263,'no known savings',>=7,0.004095,'male single',none,0.004095,car,0.035834,none,own,0.002048,skilled,0.001024,none,yes,good
<0,0.018712,'existing paid',radio/tv,0.999507,100<=X<500,1<=X<4,0.003119,'female div/dep/mar',none,0.001559,car,0.024949,none,own,0.00078,'unskilled resident',0.00078,none,yes,bad
0<=X<200,0.004179,'critical/other existing credit',education,0.999982,<100,<1,0.000348,'female div/dep/mar',none,0.000696,'no known property',0.004179,none,'for free',0.000348,skilled,0.000174,yes,yes,good
'no checking',0.004487,'critical/other existing credit',furniture/equipment,0.999954,<100,1<=X<4,0.001196,'male single',none,0.000598,'no known property',0.008375,none,'for free',0.000299,skilled,0.000299,yes,yes,good
'no checking',0.002965,'critical/other existing credit',radio/tv,0.99998,<100,>=7,0.000494,'male single',none,0.000659,car,0.005436,none,own,0.000329,skilled,0.000165,yes,yes,good
0<=X<200,0.004689,'critical/other existing credit',furniture/equipment,0.999819,<100,4<=X<7,0.002084,'male single',none,0.001563,car,0.018235,none,rent,0.000521,skilled,0.000521,yes,yes,good
'no checking',0.007894,'critical/other existing credit','new car',0.999644,<100,<1,0.00287,'female div/dep/mar',none,0.00287,car,0.025117,none,own,0.001435,'high qualif/self emp/mgmt',0.000718,none,yes,good
<0,0.013105,'critical/other existing credit','new car',0.999733,<100,>=7,0.002496,'male mar/wid',none,0.001872,car,0.018722,none,own,0.001248,skilled,0.000624,yes,yes,good
0<=X<200,0.0124,'critical/other existing credit',business,0.99979,<100,>=7,0.002067,'male div/sep',none,0.002067,'real estate',0.016017,none,own,0.001033,skilled,0.000517,yes,yes,bad
0<=X<200,0.004095,'existing paid',radio/tv,0.999949,<100,4<=X<7,0.000683,'female div/dep/mar',none,0.000341,'real estate',0.009215,none,own,0.000341,skilled,0.000341,none,yes,good
0<=X<200,0.005701,'existing paid','new car',0.999925,100<=X<500,1<=X<4,0.00076,'female div/dep/mar',none,0.00152,car,0.010642,none,rent,0.00076,skilled,0.00038,yes,yes,bad
0<=X<200,0.017706,'existing paid','new car',0.999666,<100,<1,0.002213,'female div/dep/mar',none,0.002951,car,0.018444,none,own,0.000738,'unskilled resident',0.000738,yes,yes,bad
<0,0.011442,'existing paid',radio/tv,0.999839,<100,1<=X<4,0.001635,'female div/dep/mar',none,0.00109,'real estate',0.013622,none,own,0.00109,skilled,0.000545,yes,yes,bad
>=200,0.007422,'critical/other existing credit',radio/tv,0.999765,'no known savings',4<=X<7,0.002969,'male single',none,0.001484,'life insurance',0.02004,none,own,0.001484,skilled,0.000742,yes,yes,good
<0,0.004437,'existing paid','used car',0.999844,500<=X<1000,unemployed,0.00074,'female div/dep/mar',none,0.001479,'life insurance',0.017009,none,rent,0.00074,'unemp/unskilled non res',0.00074,yes,yes,good
<0,0.015778,'no credits/all paid','new car',0.999255,<100,>=7,0.004207,'male single',none,0.003156,car,0.034711,none,rent,0.002104,skilled,0.002104,none,yes,bad
0<=X<200,0.002305,'delayed previously',radio/tv,0.99994,<100,4<=X<7,0.000419,'male single',none,0.000838,'life insurance',0.010689,none,own,0.00021,skilled,0.00021,none,yes,good
<0,0.006546,'no credits/all paid',furniture/equipment,0.999954,<100,1<=X<4,0.000436,'male div/sep',guarantor,0.000436,'real estate',0.006982,none,own,0.000436,skilled,0.000218,none,yes,good
'no checking',0.003397,'existing paid',furniture/equipment,0.999922,<100,1<=X<4,0.000566,'male mar/wid',none,0.001132,'life insurance',0.01189,none,rent,0.000566,skilled,0.000566,none,yes,good
<0,0.004383,'existing paid','new car',0.999985,<100,<1,0.000093,'female div/dep/mar',none,0.000093,'real estate',0.003264,none,own,0.000093,'unskilled resident',0.000093,yes,yes,good
'no checking',0.00626,'existing paid','new car',0.999663,500<=X<1000,1<=X<4,0.001878,'male single',none,0.001252,'no known property',0.025039,none,rent,0.000626,'unskilled resident',0.001252,none,no,good
'no checking',0.004849,'critical/other existing credit',radio/tv,0.999748,100<=X<500,1<=X<4,0.000808,'female div/dep/mar',none,0.000808,'life insurance',0.021821,none,own,0.001616,skilled,0.000808,none,yes,good
<0,0.004319,'existing paid',radio/tv,0.999736,<100,>=7,0.001296,'male single',none,0.001727,'real estate',0.022456,none,own,0.000432,'unskilled resident',0.000432,none,yes,good
0<=X<200,0.006573,'existing paid',furniture/equipment,0.999766,<100,1<=X<4,0.002629,'male div/sep',none,0.001315,car,0.020377,none,own,0.000657,'unskilled resident',0.000657,none,yes,good
'no checking',0.008223,'existing paid',radio/tv,0.999853,500<=X<1000,>=7,0.001121,'male single',none,0.001495,car,0.014951,none,own,0.000374,skilled,0.000374,none,yes,good
'no checking',0.00455,'critical/other existing credit','used car',0.999978,<100,4<=X<7,0.000414,'male single',none,0.000276,car,0.004825,none,own,0.000276,'high qualif/self emp/mgmt',0.000138,yes,yes,good
0<=X<200,0.00892,'existing paid',other,0.999932,'no known savings',unemployed,0.000557,'male single',none,0.000743,'no known property',0.007433,bank,'for free',0.000186,'unemp/unskilled non res',0.000186,yes,yes,good
0<=X<200,0.012867,'existing paid',radio/tv,0.999908,100<=X<500,1<=X<4,0.000357,'male mar/wid',none,0.000357,car,0.004289,none,own,0.000179,skilled,0.000179,none,yes,bad
'no checking',0.003801,'critical/other existing credit',other,0.999983,<100,unemployed,0.000634,'male single','co applicant',0.000317,'no known property',0.004276,bank,own,0.000317,'high qualif/self emp/mgmt',0.000158,yes,yes,good
<0,0.005101,'no credits/all paid',business,0.999942,<100,unemployed,0.000378,'male single',none,0.000756,'life insurance',0.009446,stores,own,0.000378,skilled,0.000189,yes,yes,bad
0<=X<200,0.006207,'critical/other existing credit','used car',0.999963,<100,1<=X<4,0.000517,'male single',none,0.00069,car,0.005862,none,own,0.000345,skilled,0.000172,yes,yes,good
'no checking',0.019783,'existing paid',education,0.999592,<100,1<=X<4,0.002198,'male single',none,0.002198,'no known property',0.020333,stores,'for free',0.00055,skilled,0.00055,yes,yes,bad
'no checking',0.00445,'critical/other existing credit',radio/tv,0.999976,'no known savings',4<=X<7,0.000297,'male single',none,0.000445,'life insurance',0.00534,none,own,0.000297,skilled,0.000148,none,yes,good
'no checking',0.004204,'existing paid',radio/tv,0.999876,<100,>=7,0.001121,'female div/dep/mar',none,0.00056,car,0.015133,bank,rent,0.00028,'high qualif/self emp/mgmt',0.00028,yes,yes,good
'no checking',0.003427,'all paid',radio/tv,0.99966,500<=X<1000,>=7,0.001142,'male single',none,0.002285,'life insurance',0.025706,bank,own,0.000571,'unskilled resident',0.001142,none,yes,good
<0,0.004461,'critical/other existing credit','new car',0.999759,<100,<1,0.000446,'male single',none,0.001338,'real estate',0.021414,none,rent,0.000892,'unskilled resident',0.000892,none,no,good
>=200,0.006678,'no credits/all paid',business,0.999964,<100,<1,0.000318,'male div/sep',none,0.000159,'life insurance',0.005247,none,own,0.000318,skilled,0.000159,none,yes,good
'no checking',0.002748,'critical/other existing credit','new car',0.999576,<100,4<=X<7,0.001374,'male single',none,0.000687,'real estate',0.028854,none,own,0.002061,'unskilled resident',0.001374,none,yes,good
<0,0.017153,'critical/other existing credit',furniture/equipment,0.999637,<100,<1,0.003812,'female div/dep/mar',none,0.003812,'life insurance',0.020012,none,rent,0.000953,skilled,0.000953,none,yes,good
0<=X<200,0.007712,'delayed previously',education,0.999938,<100,>=7,0.000643,'male single',none,0.000643,'no known property',0.008033,none,'for free',0.000161,skilled,0.000161,none,yes,bad
<0,0.009839,'existing paid',radio/tv,0.999846,<100,<1,0.00164,'female div/dep/mar',none,0.00164,'real estate',0.014348,none,own,0.00041,skilled,0.00041,yes,yes,bad
'no checking',0.004913,'critical/other existing credit',furniture/equipment,0.99974,'no known savings',1<=X<4,0.000819,'male mar/wid',none,0.001638,'life insurance',0.022107,none,own,0.001638,skilled,0.000819,none,yes,good
'no checking',0.017444,'critical/other existing credit','used car',0.99975,'no known savings',>=7,0.001454,'male single',none,0.00109,car,0.01381,none,own,0.000727,skilled,0.000727,yes,yes,good
'no checking',0.007418,'existing paid',radio/tv,0.999939,500<=X<1000,>=7,0.000927,'male div/sep',none,0.000618,car,0.008037,none,own,0.000309,'high qualif/self emp/mgmt',0.000309,yes,yes,good
0<=X<200,0.011769,'existing paid',radio/tv,0.999872,<100,<1,0.00049,'male mar/wid',none,0.00049,'life insurance',0.010788,none,own,0.00049,skilled,0.00049,yes,yes,bad
0<=X<200,0.008923,'delayed previously','new car',0.999759,<100,1<=X<4,0.000425,'male div/sep',none,0.0017,'life insurance',0.01997,none,own,0.00085,skilled,0.000425,none,yes,good
0<=X<200,0.010383,'existing paid',radio/tv,0.999338,<100,>=7,0.002596,'male mar/wid',guarantor,0.002596,'real estate',0.034609,bank,own,0.00173,'unskilled resident',0.000865,none,yes,good
<0,0.003342,'existing paid',furniture/equipment,0.999961,<100,1<=X<4,0.000557,'male single','co applicant',0.000557,'life insurance',0.008078,none,own,0.000279,'unskilled resident',0.000557,none,yes,good
'no checking',0.017052,'critical/other existing credit','new car',0.999441,<100,<1,0.003789,'female div/dep/mar',none,0.000947,'life insurance',0.02842,none,own,0.001895,skilled,0.000947,none,yes,good
>=200,0.009054,'critical/other existing credit',education,0.999857,<100,<1,0.000862,'male div/sep',none,0.000431,car,0.014228,none,rent,0.000431,skilled,0.000431,none,yes,bad
'no checking',0.009368,'existing paid',furniture/equipment,0.999705,<100,>=7,0.001784,'male single',none,0.000892,'real estate',0.022305,none,own,0.000892,skilled,0.000446,none,yes,good
<0,0.019472,'critical/other existing credit',radio/tv,0.998728,>=1000,>=7,0.003245,'female div/dep/mar',none,0.003245,'life insurance',0.046245,none,rent,0.001623,'high qualif/self emp/mgmt',0.000811,yes,yes,good
0<=X<200,0.00414,'delayed previously',business,0.99976,100<=X<500,>=7,0.00069,'male div/sep',none,0.00138,car,0.021389,bank,own,0.00138,skilled,0.00138,none,yes,good
0<=X<200,0.007822,'existing paid',radio/tv,0.999856,<100,<1,0.000652,'male mar/wid',none,0.000652,'real estate',0.014991,none,rent,0.000652,skilled,0.000652,none,yes,bad
