@relation autos-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute normalized-losses numeric
@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel-type {diesel,gas}
@attribute aspiration {std,turbo}
@attribute num-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute drive-wheels {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute engine-size numeric
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute horsepower numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute price numeric
@attribute symboling {-3,-2,-1,0,1,2,3}

@data
0.011158,nissan,gas,std,four,wagon,fwd,front,0.010237,0.018437,0.006911,0.005796,0.219255,ohc,four,0.010508,2bbl,0.000341,0.000356,0.001018,0.007475,0.563303,0.003358,0.004008,0.796098,1
0.011246,subaru,gas,std,two,hatchback,fwd,front,0.012696,0.021259,0.00859,0.007276,0.277763,ohcf,four,0.013143,2bbl,0.00049,0.00032,0.001219,0.009349,0.663922,0.0042,0.004878,0.693459,2
?,peugot,diesel,turbo,four,wagon,rwd,front,?,?,?,?,?,l,four,?,idi,?,?,?,?,?,?,?,?,0
0.003226,mercedes-benz,diesel,turbo,four,wagon,rwd,front,0.003816,0.006622,0.002439,0.002036,0.130082,ohc,five,0.006348,idi,0.000124,0.000126,0.000746,0.004267,0.150895,0.000763,0.000867,0.979883,-1
?,mazda,gas,std,two,hatchback,rwd,front,?,?,?,?,?,rotor,two,?,4bbl,?,?,?,?,?,?,?,?,3
0.011663,toyota,gas,std,two,hatchback,fwd,front,0.012829,0.021275,0.008526,0.007306,0.266101,ohc,four,0.012333,2bbl,0.000409,0.000406,0.001207,0.008311,0.643467,0.004692,0.005228,0.71693,1
0.009735,toyota,gas,std,four,sedan,fwd,front,0.010238,0.017791,0.00689,0.00567,0.224022,ohc,four,0.010484,2bbl,0.000341,0.000324,0.000963,0.007489,0.513518,0.004065,0.005028,0.827834,0
0.003992,mercedes-benz,gas,std,two,convertible,rwd,front,0.002716,0.005069,0.001982,0.001428,0.103599,ohcv,eight,0.006579,mpfi,0.000097,0.000087,0.000233,0.004358,0.13354,0.00045,0.000506,0.985554,3
0.007687,saab,gas,std,four,sedan,fwd,front,0.007325,0.013793,0.004915,0.004147,0.199206,ohc,four,0.008944,mpfi,0.000262,0.000227,0.000687,0.008131,0.388064,0.001552,0.00207,0.89957,2
0.011386,honda,gas,std,four,sedan,fwd,front,0.009989,0.016914,0.006625,0.005641,0.20806,ohc,four,0.009523,1bbl,0.000301,0.000353,0.000952,0.007867,0.621074,0.003105,0.003519,0.755123,0
0.008362,peugot,gas,turbo,four,sedan,rwd,front,0.005609,0.009697,0.003547,0.002909,0.162568,l,four,0.00696,mpfi,0.000187,0.000167,0.000364,0.007375,0.290856,0.000935,0.001247,0.942684,0
?,isuzu,gas,std,four,sedan,fwd,front,?,?,?,?,?,ohc,four,?,2bbl,?,?,?,?,?,?,?,?,0
0.01395,nissan,gas,std,two,sedan,fwd,front,0.010299,0.018014,0.006953,0.005939,0.212621,ohc,four,0.010571,2bbl,0.000343,0.000359,0.001024,0.00752,0.566699,0.003378,0.004032,0.795449,1
0.010436,dodge,gas,std,four,wagon,fwd,front,0.009801,0.016565,0.006129,0.005674,0.240508,ohc,four,0.011575,2bbl,0.000317,0.000328,0.000806,0.008349,0.474375,0.002277,0.002846,0.846379,-1
0.014649,dodge,gas,std,two,hatchback,fwd,front,0.011632,0.019528,0.00792,0.006306,0.232893,ohc,four,0.011173,2bbl,0.000369,0.000401,0.001168,0.008442,0.682787,0.004593,0.00509,0.691726,1
?,plymouth,gas,turbo,two,hatchback,rwd,front,?,?,?,?,?,ohc,four,?,spdi,?,?,?,?,?,?,?,?,3
0.014017,mitsubishi,gas,std,four,sedan,fwd,front,0.010799,0.019332,0.007334,0.005786,0.265203,ohc,four,0.013681,2bbl,0.000376,0.000388,0.000953,0.009868,0.560683,0.002803,0.003588,0.783723,1
0.016601,mitsubishi,gas,turbo,two,hatchback,fwd,front,0.009589,0.016219,0.006578,0.005238,0.22117,ohc,four,0.010105,spdi,0.000312,0.00035,0.000784,0.010517,0.567103,0.002475,0.003093,0.79281,1
0.012392,mitsubishi,gas,std,four,sedan,fwd,front,0.008711,0.015595,0.005916,0.004668,0.217365,ohc,four,0.00995,spdi,0.000287,0.000313,0.000678,0.010493,0.497506,0.00208,0.002714,0.839338,-1
0.013833,nissan,gas,std,four,sedan,fwd,front,0.010715,0.018743,0.007234,0.00618,0.219746,ohc,four,0.010999,2bbl,0.000357,0.000373,0.001066,0.007824,0.589618,0.003515,0.004195,0.776595,1
0.008075,volkswagen,gas,std,four,sedan,fwd,front,0.008358,0.014749,0.005627,0.004785,0.197573,ohc,four,0.009363,mpfi,0.000274,0.000292,0.000859,0.00859,0.472458,0.002233,0.002749,0.858584,2
?,audi,gas,std,two,sedan,fwd,front,?,?,?,?,?,ohc,five,?,mpfi,?,?,?,?,?,?,?,?,2
0.011513,subaru,gas,std,four,sedan,fwd,front,0.010971,0.019413,0.007382,0.005926,0.242101,ohcf,four,0.01219,2bbl,0.000409,0.000298,0.001072,0.009255,0.541765,0.003612,0.004176,0.804296,0
?,isuzu,gas,std,two,hatchback,rwd,front,?,?,?,?,?,ohc,four,?,spfi,?,?,?,?,?,?,?,?,2
?,audi,gas,turbo,two,hatchback,4wd,front,?,?,?,?,?,ohc,five,?,mpfi,?,?,?,?,?,?,?,?,0
0.014741,honda,gas,std,two,hatchback,fwd,front,0.009318,0.015559,0.006876,0.005466,0.195727,ohc,four,0.009899,1bbl,0.000313,0.000367,0.00099,0.008178,0.645608,0.003336,0.004089,0.737607,2
0.009708,subaru,gas,std,four,wagon,fwd,front,0.01058,0.018924,0.007133,0.005781,0.249777,ohcf,four,0.01178,2bbl,0.000395,0.000288,0.000982,0.008944,0.523551,0.003054,0.00349,0.814012,0
0.014755,plymouth,gas,std,two,hatchback,fwd,front,0.011618,0.019504,0.007911,0.006299,0.237814,ohc,four,0.011159,2bbl,0.000368,0.0004,0.001166,0.008431,0.681949,0.004588,0.005084,0.690876,1
0.007191,volvo,gas,std,four,sedan,rwd,front,0.007281,0.01318,0.004691,0.003923,0.203292,ohc,four,0.009843,mpfi,0.000264,0.00022,0.000663,0.007959,0.376985,0.001606,0.001955,0.903367,-2
?,porsche,gas,std,two,hardtop,rwd,rear,?,?,?,?,?,ohcf,six,?,mpfi,?,?,?,?,?,?,?,?,3
0.017443,toyota,gas,std,two,sedan,rwd,front,0.009812,0.017516,0.006645,0.005461,0.2252,ohc,four,0.010175,2bbl,0.000331,0.000315,0.000934,0.007268,0.498367,0.003011,0.00353,0.836633,1
0.011185,toyota,gas,std,two,hatchback,rwd,front,0.005842,0.010419,0.003844,0.002952,0.168968,dohc,six,0.009709,mpfi,0.000186,0.00019,0.000528,0.009141,0.29524,0.001136,0.001363,0.940112,3
0.009551,subaru,gas,std,four,sedan,4wd,front,0.009083,0.016106,0.006124,0.005084,0.223324,ohcf,four,0.010113,2bbl,0.000339,0.000247,0.000843,0.007678,0.449457,0.002247,0.002341,0.864549,0
?,mazda,gas,std,two,hatchback,rwd,front,?,?,?,?,?,rotor,two,?,mpfi,?,?,?,?,?,?,?,?,3
0.009938,mazda,gas,std,four,sedan,fwd,front,0.008538,0.015366,0.005747,0.004796,0.208275,ohc,four,0.010543,2bbl,0.000293,0.000293,0.000743,0.007259,0.414821,0.002247,0.002765,0.885384,0
0.010804,audi,gas,std,four,sedan,fwd,front,0.006575,0.011634,0.004361,0.003577,0.153959,ohc,four,0.007181,mpfi,0.00021,0.000224,0.000659,0.00672,0.362334,0.001581,0.001976,0.91901,2
?,mercedes-benz,gas,std,four,sedan,rwd,front,?,?,?,?,?,ohcv,eight,?,mpfi,?,?,?,?,?,?,?,?,-1
0.004414,jaguar,gas,std,four,sedan,rwd,front,0.00344,0.006076,0.002119,0.001607,0.123762,dohc,six,0.007853,mpfi,0.00011,0.000127,0.000247,0.005357,0.144582,0.000457,0.000578,0.981638,0
0.011084,subaru,gas,std,four,sedan,fwd,front,0.010562,0.018691,0.007107,0.005705,0.237982,ohcf,four,0.011736,2bbl,0.000393,0.000287,0.001032,0.008911,0.478138,0.003043,0.003586,0.844891,0
?,jaguar,gas,std,two,sedan,rwd,front,?,?,?,?,?,ohcv,twelve,?,mpfi,?,?,?,?,?,?,?,?,0
0.007021,plymouth,gas,std,four,wagon,fwd,front,0.009801,0.016566,0.006129,0.005674,0.240515,ohc,four,0.011575,2bbl,0.000318,0.000328,0.000806,0.008349,0.474389,0.002277,0.002846,0.846404,-1
0.00785,honda,gas,std,four,sedan,fwd,front,0.008912,0.016198,0.006021,0.004996,0.21277,ohc,four,0.010158,1bbl,0.000291,0.000331,0.000831,0.007942,0.535619,0.002493,0.003047,0.816819,0
0.01152,chevrolet,gas,std,two,hatchback,fwd,front,0.011109,0.018327,0.007476,0.006113,0.220295,ohc,four,0.01058,2bbl,0.000356,0.000366,0.001129,0.008229,0.63479,0.004467,0.005055,0.74,1
0.018025,plymouth,gas,std,four,hatchback,fwd,front,0.010967,0.018411,0.007467,0.005922,0.230222,ohc,four,0.010534,2bbl,0.000348,0.000378,0.0011,0.007959,0.643732,0.003628,0.004448,0.729056,1
0.013944,mazda,gas,std,two,hatchback,fwd,front,0.012483,0.021332,0.008608,0.007254,0.253408,ohc,four,0.012201,2bbl,0.000406,0.000422,0.001207,0.009117,0.67039,0.004022,0.004156,0.696536,1
0.011334,peugot,diesel,turbo,four,sedan,rwd,front,0.007596,0.013143,0.004815,0.003991,0.225053,l,four,0.0107,idi,0.00026,0.000248,0.001478,0.006688,0.292139,0.001971,0.002323,0.929213,0
0.009668,peugot,gas,std,four,sedan,rwd,front,0.00648,0.011212,0.004108,0.003405,0.18466,l,four,0.007206,mpfi,0.000208,0.000132,0.000504,0.005705,0.30026,0.001141,0.001441,0.93561,0
0.002895,mercedes-benz,diesel,turbo,four,sedan,rwd,front,0.003599,0.006307,0.002232,0.001753,0.117365,ohc,five,0.005697,idi,0.000111,0.000113,0.000669,0.003829,0.135422,0.000685,0.000778,0.983752,-1
0.0076,subaru,gas,std,four,wagon,fwd,front,0.008283,0.014815,0.005585,0.004526,0.209635,ohcf,four,0.009222,mpfi,0.000309,0.000225,0.000769,0.008027,0.444034,0.002135,0.002647,0.87082,0
0.009152,subaru,gas,std,two,hatchback,4wd,front,0.010288,0.017345,0.007035,0.006142,0.246991,ohcf,four,0.011909,2bbl,0.000399,0.000291,0.000959,0.008049,0.485161,0.002867,0.003418,0.838337,2
0.010604,honda,gas,std,two,hatchback,fwd,front,0.009838,0.015749,0.00672,0.005523,0.205368,ohc,four,0.009659,1bbl,0.000306,0.000358,0.000966,0.00798,0.629964,0.00315,0.00357,0.748502,1
0.009281,saab,gas,std,two,hatchback,fwd,front,0.006132,0.011546,0.004115,0.003471,0.167497,ohc,four,0.007487,mpfi,0.000157,0.000128,0.000575,0.006806,0.324846,0.001299,0.001733,0.930606,3
?,volkswagen,gas,std,four,sedan,fwd,front,?,?,?,?,?,ohc,five,?,mpfi,?,?,?,?,?,?,?,?,0
?,mazda,diesel,std,four,sedan,rwd,front,?,?,?,?,?,ohc,four,?,idi,?,?,?,?,?,?,?,?,0
0.01191,dodge,gas,turbo,two,hatchback,fwd,front,0.009457,0.015876,0.006439,0.005127,0.214777,ohc,four,0.009891,mpfi,0.000306,0.000342,0.000767,0.010295,0.555109,0.002422,0.003028,0.803091,1
0.009415,volkswagen,gas,std,four,sedan,fwd,front,0.009745,0.017197,0.00656,0.005579,0.221544,ohc,four,0.010917,mpfi,0.000319,0.000341,0.000901,0.008513,0.525816,0.002704,0.003405,0.820774,2
0.013671,dodge,gas,std,two,hatchback,fwd,front,0.010855,0.018224,0.007391,0.005885,0.21734,ohc,four,0.010427,2bbl,0.000344,0.000374,0.001089,0.007878,0.637192,0.003591,0.004402,0.738795,1
0.012108,toyota,gas,std,two,hardtop,rwd,front,0.008891,0.015921,0.005927,0.004699,0.229145,ohc,four,0.013192,mpfi,0.000327,0.000316,0.00084,0.010481,0.433713,0.002169,0.002711,0.870949,2
0.017322,dodge,gas,std,four,hatchback,fwd,front,0.010967,0.018411,0.007467,0.005922,0.230225,ohc,four,0.010534,2bbl,0.000348,0.000378,0.0011,0.007959,0.64374,0.003628,0.004448,0.729065,1
0.016343,chevrolet,gas,std,two,hatchback,fwd,front,0.01194,0.019058,0.008144,0.007185,0.200977,l,three,0.008239,2bbl,0.000393,0.000409,0.001283,0.006483,0.688831,0.006348,0.007158,0.69572,2
0.004094,volvo,diesel,turbo,four,sedan,rwd,front,0.004702,0.008137,0.002969,0.002392,0.138645,ohc,six,0.006249,idi,0.00013,0.000147,0.000991,0.004568,0.206868,0.001121,0.001164,0.968401,-1
0.011334,saab,gas,std,two,hatchback,fwd,front,0.007488,0.014099,0.005025,0.004239,0.200838,ohc,four,0.009143,mpfi,0.000267,0.000232,0.000703,0.008312,0.39669,0.001587,0.002116,0.895385,3
?,porsche,gas,std,two,convertible,rwd,rear,?,?,?,?,?,ohcf,six,?,mpfi,?,?,?,?,?,?,?,?,3
0.008545,toyota,gas,std,four,sedan,fwd,front,0.008987,0.015617,0.006048,0.004958,0.20096,ohc,four,0.009203,2bbl,0.0003,0.000285,0.000845,0.006573,0.450751,0.002629,0.003193,0.869387,0
?,toyota,gas,std,four,wagon,rwd,front,?,?,?,?,?,dohc,six,?,mpfi,?,?,?,?,?,?,?,?,-1
0.010915,bmw,gas,std,two,sedan,rwd,front,0.005753,0.010051,0.003684,0.003087,0.136152,ohc,four,0.00614,mpfi,0.000199,0.000159,0.0005,0.005742,0.329721,0.001308,0.001649,0.934021,2
0.010738,toyota,gas,std,two,hardtop,rwd,front,0.007885,0.014119,0.005257,0.004167,0.214673,ohc,four,0.011699,mpfi,0.00029,0.00028,0.000745,0.009295,0.384632,0.001923,0.002404,0.897395,2
?,porsche,gas,std,two,hatchback,rwd,front,?,?,?,?,?,dohcv,eight,?,mpfi,?,?,?,?,?,?,?,?,1
0.013341,nissan,gas,std,two,hatchback,fwd,front,0.009849,0.01726,0.00665,0.005555,0.211372,ohc,four,0.01011,2bbl,0.000328,0.000343,0.00098,0.007192,0.54198,0.003231,0.003856,0.812866,1
0.011307,mitsubishi,gas,turbo,four,sedan,fwd,front,0.008711,0.015595,0.005916,0.004668,0.217368,ohc,four,0.00995,spdi,0.000287,0.000313,0.000678,0.010493,0.497513,0.002081,0.002714,0.839349,1
0.013062,nissan,gas,std,four,sedan,fwd,front,0.010118,0.017698,0.006831,0.005835,0.211029,ohc,four,0.010385,2bbl,0.000337,0.000352,0.001006,0.007388,0.556748,0.003319,0.003961,0.802895,1
0.009128,peugot,gas,std,four,sedan,rwd,front,0.006117,0.010585,0.003878,0.003215,0.174334,l,four,0.006803,mpfi,0.000196,0.000181,0.000476,0.005499,0.28347,0.001077,0.001361,0.942822,0
0.020276,mitsubishi,gas,std,two,hatchback,fwd,front,0.0118,0.01981,0.00811,0.006398,0.241545,ohc,four,0.011586,2bbl,0.000374,0.000407,0.001184,0.008564,0.692647,0.00466,0.005163,0.678668,2
0.005296,volvo,gas,std,four,sedan,rwd,front,0.006082,0.010526,0.003841,0.003094,0.164578,ohc,four,0.007861,mpfi,0.000211,0.000176,0.00053,0.006356,0.301058,0.001282,0.001561,0.939133,-1
0.015094,mitsubishi,gas,std,two,hatchback,fwd,front,0.0095,0.017067,0.006452,0.004874,0.229668,ohc,four,0.012036,2bbl,0.00033,0.000341,0.000839,0.008682,0.493273,0.002466,0.003157,0.838465,3
?,bmw,gas,std,four,sedan,rwd,front,?,?,?,?,?,ohc,six,?,mpfi,?,?,?,?,?,?,?,?,0
0.009223,mazda,gas,std,four,hatchback,fwd,front,0.007924,0.01426,0.005334,0.004451,0.194494,ohc,four,0.009785,2bbl,0.000272,0.000272,0.00069,0.006737,0.384979,0.002085,0.002567,0.901893,0
0.010594,toyota,gas,std,two,hatchback,fwd,front,0.011654,0.019326,0.007745,0.006637,0.248419,ohc,four,0.011203,2bbl,0.000371,0.000369,0.001096,0.00755,0.584516,0.003775,0.004627,0.771805,1
0.010225,dodge,gas,turbo,two,hatchback,fwd,front,0.006763,0.012214,0.004676,0.00354,0.198233,ohc,four,0.011001,mfi,0.000254,0.000275,0.000494,0.010225,0.352602,0.00134,0.001692,0.914227,3
0.006399,toyota,gas,std,four,sedan,fwd,front,0.01008,0.017286,0.006546,0.005404,0.22897,ohc,four,0.01201,mpfi,0.000326,0.000348,0.000856,0.009056,0.413446,0.002855,0.003347,0.880837,-1
0.010635,bmw,gas,std,four,sedan,rwd,front,0.005605,0.009793,0.003589,0.003008,0.132659,ohc,four,0.005982,mpfi,0.000194,0.000155,0.000487,0.005594,0.321262,0.001274,0.001606,0.937475,0
0.005854,toyota,gas,std,four,hatchback,fwd,front,0.009222,0.015814,0.005989,0.004854,0.217393,ohc,four,0.010987,mpfi,0.000298,0.000319,0.000783,0.008285,0.378232,0.002431,0.002882,0.899471,-1
0.006262,saab,gas,std,four,sedan,fwd,front,0.005967,0.011236,0.004004,0.003378,0.166066,ohc,four,0.007286,mpfi,0.000213,0.000185,0.00056,0.006623,0.316116,0.001264,0.001686,0.933896,2
0.012362,mazda,gas,std,four,sedan,fwd,front,0.010185,0.018247,0.007023,0.005918,0.213322,ohc,four,0.009955,2bbl,0.000337,0.000345,0.000985,0.007439,0.546978,0.003391,0.004157,0.808981,1
0.014203,toyota,gas,std,two,hatchback,rwd,front,0.007989,0.014262,0.005411,0.004447,0.194441,dohc,four,0.008285,mpfi,0.000274,0.00026,0.000795,0.009468,0.557962,0.002198,0.002452,0.806339,1
?,mercedes-benz,gas,std,two,hardtop,rwd,front,?,?,?,?,?,ohcv,eight,?,mpfi,?,?,?,?,?,?,?,?,1
0.008806,subaru,gas,std,four,wagon,4wd,front,0.010038,0.017984,0.006775,0.005687,0.250702,ohcf,four,0.011188,2bbl,0.000375,0.000273,0.000932,0.008495,0.49726,0.002383,0.003004,0.830113,0
0.012631,mitsubishi,gas,std,four,sedan,fwd,front,0.009731,0.017421,0.006609,0.005214,0.243029,ohc,four,0.012328,2bbl,0.000339,0.00035,0.000859,0.008893,0.505258,0.002526,0.003234,0.827511,1
0.008072,honda,gas,std,four,wagon,fwd,front,0.009986,0.016258,0.006613,0.006033,0.209454,ohc,four,0.009521,1bbl,0.000302,0.000353,0.000952,0.007865,0.620912,0.003105,0.003519,0.754925,0
0.005302,toyota,gas,std,four,hatchback,fwd,front,0.008353,0.014324,0.005425,0.004397,0.20051,ohc,four,0.009952,mpfi,0.00027,0.000289,0.00071,0.007505,0.342612,0.002203,0.00261,0.917547,-1
0.008683,toyota,gas,std,four,wagon,4wd,front,0.009132,0.016193,0.006069,0.005639,0.296752,ohc,four,0.008779,2bbl,0.000291,0.000289,0.000859,0.005916,0.458009,0.002576,0.003053,0.837584,0
0.02204,volkswagen,gas,std,two,hatchback,fwd,front,0.008136,0.014266,0.00551,0.004425,0.191215,ohc,four,0.009384,mpfi,0.000275,0.000293,0.000732,0.007748,0.473517,0.002066,0.002497,0.859217,3
0.012818,mazda,gas,std,two,hatchback,fwd,front,0.011475,0.01961,0.007913,0.006668,0.234182,ohc,four,0.011216,2bbl,0.000373,0.000388,0.001109,0.008381,0.616269,0.003821,0.004684,0.751232,1
0.009285,chevrolet,gas,std,four,sedan,fwd,front,0.010833,0.018204,0.007291,0.005961,0.218835,ohc,four,0.010317,2bbl,0.000347,0.000357,0.0011,0.008024,0.61902,0.004356,0.004929,0.753715,0
0.016611,honda,gas,std,two,hatchback,fwd,front,0.0105,0.017532,0.007748,0.006159,0.207697,ohc,four,0.011155,1bbl,0.000353,0.000413,0.001164,0.007032,0.581987,0.005941,0.006547,0.785562,2
0.014446,toyota,gas,std,two,sedan,rwd,front,0.008126,0.014507,0.005503,0.004523,0.194768,dohc,four,0.008427,mpfi,0.000279,0.000265,0.000808,0.009631,0.567535,0.002236,0.002494,0.799536,1
0.010861,mazda,gas,std,two,hatchback,fwd,front,0.008318,0.01497,0.005599,0.004521,0.200802,ohc,four,0.010272,2bbl,0.000285,0.000285,0.000724,0.007072,0.404131,0.002189,0.002694,0.892034,1
0.011437,mazda,gas,std,four,sedan,fwd,front,0.009826,0.017683,0.006614,0.00552,0.239687,ohc,four,0.012134,2bbl,0.000337,0.000337,0.000855,0.008354,0.477384,0.002586,0.003183,0.84487,0
0.008885,subaru,gas,std,four,sedan,fwd,front,0.008467,0.014982,0.005697,0.004573,0.203828,ohcf,four,0.009407,mpfi,0.000315,0.00023,0.000784,0.008188,0.452952,0.002265,0.002787,0.867577,0
0.005321,volvo,gas,turbo,four,sedan,rwd,front,0.005388,0.009754,0.003472,0.002903,0.157309,ohc,four,0.006716,mpfi,0.000187,0.000163,0.000387,0.008369,0.263473,0.000878,0.001137,0.951602,-2
0.016867,nissan,gas,std,two,hardtop,fwd,front,0.009548,0.016305,0.006406,0.005351,0.201603,ohc,four,0.009739,2bbl,0.000316,0.00033,0.000944,0.006928,0.522079,0.003112,0.003715,0.828198,2
0.008733,volkswagen,diesel,turbo,four,sedan,fwd,front,0.00904,0.015952,0.006085,0.005175,0.215448,ohc,four,0.009012,idi,0.00028,0.000316,0.002137,0.006318,0.418075,0.003438,0.003902,0.882138,2
0.008504,toyota,gas,std,four,wagon,4wd,front,0.010047,0.017816,0.006677,0.006205,0.240416,ohc,four,0.009659,2bbl,0.00032,0.000318,0.000945,0.006509,0.503928,0.002835,0.00336,0.829172,0
0.004194,volvo,gas,std,four,wagon,rwd,front,0.005912,0.010702,0.003809,0.003259,0.172426,ohc,four,0.007992,mpfi,0.000214,0.000179,0.000538,0.006462,0.306081,0.00136,0.001587,0.936099,-1
0.008892,toyota,gas,std,four,hatchback,fwd,front,0.0115,0.01907,0.007642,0.006549,0.242129,ohc,four,0.011055,2bbl,0.000366,0.000364,0.001081,0.00745,0.576783,0.003725,0.004566,0.779618,1
0.009534,nissan,gas,std,four,sedan,fwd,front,0.008743,0.015597,0.005864,0.00492,0.207055,ohc,four,0.010793,2bbl,0.0003,0.000312,0.000765,0.008725,0.467717,0.002429,0.003058,0.85889,0
0.005903,honda,gas,std,four,sedan,fwd,front,0.006701,0.01218,0.004528,0.003757,0.171177,ohc,four,0.007639,mpfi,0.000219,0.000249,0.000625,0.007014,0.40277,0.001667,0.001944,0.898942,0
0.012741,honda,gas,std,two,hatchback,fwd,front,0.011821,0.018923,0.008074,0.006636,0.231743,ohc,four,0.009966,1bbl,0.000367,0.000387,0.001274,0.007569,0.693843,0.004794,0.005298,0.681101,1
0.012468,mazda,gas,std,two,hatchback,fwd,front,0.009549,0.017184,0.006427,0.00519,0.230511,ohc,four,0.011791,2bbl,0.000328,0.000328,0.000831,0.008119,0.463922,0.002513,0.003093,0.854873,1
0.011123,honda,gas,std,two,hatchback,fwd,front,0.010319,0.016519,0.007048,0.005793,0.213644,ohc,four,0.010132,1bbl,0.00032,0.000376,0.001013,0.00837,0.660754,0.003304,0.003744,0.71901,1
0.014532,nissan,diesel,std,two,sedan,fwd,front,0.010729,0.018767,0.007243,0.006187,0.228994,ohc,four,0.011694,idi,0.000339,0.000394,0.002486,0.006244,0.544954,0.005109,0.005677,0.805964,1
0.008162,subaru,gas,turbo,four,sedan,4wd,front,0.007762,0.013763,0.005233,0.004345,0.20084,ohcf,four,0.008642,mpfi,0.00029,0.000211,0.000616,0.008882,0.384077,0.00192,0.00232,0.900901,0
0.013161,mitsubishi,gas,turbo,two,hatchback,fwd,front,0.008284,0.014881,0.005626,0.004249,0.203868,ohc,four,0.009462,spdi,0.000273,0.000298,0.000645,0.009978,0.473111,0.001978,0.002581,0.856674,3
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,?,?,?,?,?,ohc,four,?,spdi,?,?,?,?,?,?,?,?,3
